ProjectUnit = PIPO4T09
Summary Report = Surface Fuels
Report Attribute = Duff
Units = Tons per Acre

Macroplot,01PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,02PRE-Attr,02PRE-Diff,02PRE-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff
B:MPIPO4T09:01,1.97,0.97,-1.00,-50.63,***,***,***,***,***,***
B:MPIPO4T09:02,0.90,10.71,9.81,1091.67,***,***,***,***,***,***
B:MPIPO4T09:03,4.37,18.17,13.80,316.00,7.79,3.42,78.29,8.93,4.57,104.57
B:MPIPO4T09:04,7.55,14.37,6.82,90.31,13.03,5.47,72.47,9.96,2.40,31.83
B:MPIPO4T09:05,1.96,6.36,4.40,224.15,2.02,0.06,2.97,3.87,1.90,97.03
B:MPIPO4T09:06,0.00,0.27,0.27,***,***,***,***,0.20,0.20,***
B:MPIPO4T09:07,2.70,8.11,5.42,200.93,0.70,-2.00,-74.07,2.20,-0.50,-18.52
B:MPIPO4T09:08,4.67,1.82,-2.85,-60.96,0.65,-4.02,-86.10,2.67,-2.00,-42.78
B:MPIPO4T09:09,0.00,0.25,0.25,***,0.17,0.17,***,0.10,0.10,***
B:MPIPO4T09:10,0.45,***,***,***,***,***,***,0.31,-0.14,-31.62
Mean,2.46,6.78,-4.33,-176.10,4.06,-1.60,-65.26,3.53,-1.07,-43.66
