ProjectUnit = PIPO4T09
Summary Report = Surface Fuels
Report Attribute = 100-hr
Units = Tons per Acre

Macroplot,01PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,02PRE-Attr,02PRE-Diff,02PRE-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff
B:MPIPO4T09:01,1.82,2.42,0.61,33.33,***,***,***,***,***,***
B:MPIPO4T09:02,0.61,0.61,0.00,0.00,***,***,***,***,***,***
B:MPIPO4T09:03,1.22,1.82,0.60,48.80,1.55,0.33,26.73,1.25,0.03,2.64
B:MPIPO4T09:04,1.82,0.91,-0.91,-50.00,1.21,-0.60,-33.06,1.22,-0.60,-32.88
B:MPIPO4T09:05,1.21,1.21,0.00,0.00,4.27,3.06,252.53,2.47,1.26,103.86
B:MPIPO4T09:06,0.30,3.03,2.72,900.00,***,***,***,3.05,2.75,907.51
B:MPIPO4T09:07,2.42,1.51,-0.91,-37.50,1.23,-1.19,-49.28,1.84,-0.58,-23.83
B:MPIPO4T09:08,0.30,0.30,0.00,0.00,3.94,3.64,1201.70,3.94,3.63,1201.44
B:MPIPO4T09:09,0.91,2.12,1.21,133.33,6.43,5.52,608.25,7.36,6.45,710.63
B:MPIPO4T09:10,0.61,***,***,***,***,***,***,2.72,2.12,350.12
Mean,1.12,1.55,-0.43,-38.02,3.10,-1.98,-177.01,2.98,-1.86,-166.07
