ProjectUnit = FPICO1BY08
Summary Report = Surface Fuels
Report Attribute = Litter
Units = Tons per Acre

Macroplot,01Yr01-Attr,01Yr05-Attr,01Yr05-Diff,01Yr05-%Diff
B:FPICO1BY08:01,0.15,1.40,1.25,833.33
B:FPICO1BY08:02,5.19,1.60,-3.59,-69.23
B:FPICO1BY08:03,0.35,2.70,2.35,671.43
B:FPICO1BY08:04,0.30,0.70,0.40,133.33
Mean,1.50,1.60,-0.10,-6.67
