ProjectUnit = FPICO1BY08
Summary Report = Surface Fuels
Report Attribute = 1-hr
Units = Tons per Acre

Macroplot,01Yr01-Attr,01Yr05-Attr,01Yr05-Diff,01Yr05-%Diff
B:FPICO1BY08:01,0.03,0.00,-0.03,-100.00
B:FPICO1BY08:02,0.10,0.03,-0.06,-66.67
B:FPICO1BY08:03,0.00,0.00,0.00,0.00
B:FPICO1BY08:04,0.00,0.02,0.02,***
Mean,0.03,0.01,0.02,62.50
