ProjectUnit = FPICO1BY08
Summary Report = Surface Fuels
Report Attribute = Duff
Units = Tons per Acre

Macroplot,01Yr01-Attr,01Yr05-Attr,01Yr05-Diff,01Yr05-%Diff
B:FPICO1BY08:01,0.00,0.80,0.80,***
B:FPICO1BY08:02,0.50,3.29,2.80,560.00
B:FPICO1BY08:03,0.00,0.90,0.90,***
B:FPICO1BY08:04,0.00,1.50,1.50,***
Mean,0.12,1.62,-1.50,-1200.00
