Date,SampleEvent_TreatmentUnit,SampleEvent_DefaultMonitoringStatus,MacroPlot Name,Species Symbol,MacroPlotSize,SnagPlotSize,BrkPntDia,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Index,IsVerified,QTR,SubFrac,TagNo,Status,DBH,Ht,CrwnRto,CrwnCl,LiCrBHt,CrFuBHt,CrwnRad,Age,GrwthRt,Mort,DecayCl,LaddBaseHt,LaddMaxHt,DRC,NuLiStems,NuDeStems,EqDia,XCoord,YCoord,CKR,CharHt,ScorchHt,CrScPct,DamCd1,DamSev1,DamCd2,DamSev2,DamCd3,DamSev3,DamCd4,DamSev4,DamCd5,DamSev5,Comment,UV1,UV2,UV3,Visited,
6/10/1995 12:00:00 AM,TC2,,B:FPIPO1D09:01,PIPO,,,,,,,,,,1023,True,2,1,23,L,17.3,,,I,,,,,,,,,,,,,,,,,0,0,0,,-1,,-1,,-1,,-1,,-1,FMH TREEOVER 1067,,, overq2,,
6/10/1995 12:00:00 AM,TC2,,B:FPIPO1D09:01,PIPO,,,,,,,,,,1009,True,1,1,9,L,22.3,,,I,,,,,,,,,,,,,,,,,0,0,0,CROK,-1,,-1,,-1,,-1,,-1,FMH TREEOVER 1067,,, overq1,,
6/10/1995 12:00:00 AM,TC2,,B:FPIPO1D09:01,PIPO,,,,,,,,,,1037,True,4,1,37,L,54,,,C,,,,,,,,,,,,,,,,,0,0,0,FIRE,-1,,-1,,-1,,-1,,-1,FMH TREEOVER 1067,,, overq4,,
6/10/1995 12:00:00 AM,TC2,,B:FPIPO1D09:01,PIPO,,,,,,,,,,1032,True,3,1,32,D,80.4,,,BBD,,,,,,,,,,,,,,,,,0,0,0,BROK,-1,INSE,-1,FIRE,-1,,-1,,-1,FMH TREEOVER 1067,,, overq3,,
6/10/1995 12:00:00 AM,TC2,,B:FPIPO1D09:01,PIPO,,,,,,,,,,1025,True,2,1,25,L,19.6,,,I,,,,,,,,,,,,,,,,,0,0,0,,-1,,-1,,-1,,-1,,-1,FMH TREEOVER 1067,,, overq2,,
6/10/1995 12:00:00 AM,TC2,,B:FPIPO1D09:01,PIPO,,,,,,,,,,1034,True,3,1,574,L,88.6,,,D,,,,,,,,,,,,,,,,,0,0,0,FIRE,-1,,-1,,-1,,-1,,-1,FMH TREEOVER 1067,,, overq3,,
6/10/1995 12:00:00 AM,TC2,,B:FPIPO1D09:01,PIPO,,,,,,,,,,7,True,1,0.25,51,D,8,6,,X,,,,,,,,,,,,,,,,,0,0,0,,-1,,-1,,-1,,-1,,-1,From FMH TREEPOLE 1069,,, poleq1,,
6/10/1995 12:00:00 AM,TC2,,B:FPIPO1D09:01,PIPO,,,,,,,,,,1,True,1,0.25,45,L,13.5,7,,X,,,,,,,,,,,,,,,,,0,0,0,,-1,,-1,,-1,,-1,,-1,From FMH TREEPOLE 1069,,, poleq1,,
6/10/1995 12:00:00 AM,TC2,,B:FPIPO1D09:01,PIPO,,,,,,,,,,1014,True,1,1,570,L,49.1,,,C,,,,,,,,,,,,,,,,,0,0,0,,-1,,-1,,-1,,-1,,-1,FMH TREEOVER 1067,,, overq1,,
6/10/1995 12:00:00 AM,TC2,,B:FPIPO1D09:01,PIPO,,,,,,,,,,1022,True,2,1,22,L,16.4,,,SC,,,,,,,,,,,,,,,,,0,0,0,,-1,,-1,,-1,,-1,,-1,FMH TREEOVER 1067,,, overq2,,
