ProjectUnit = FPICO2D08
Summary Report = Surface Fuels
Report Attribute = 1000-hr Sound
Units = Tons per Acre

Macroplot,00Pro1-Attr,00Pre-Attr,00Pre-Diff,00Pre-%Diff,01Yr01-Attr,01Yr01-Diff,01Yr01-%Diff,01Yr02-Attr,01Yr02-Diff,01Yr02-%Diff,01Yr05-Attr,01Yr05-Diff,01Yr05-%Diff,01Yr09-Attr,01Yr09-Diff,01Yr09-%Diff
B:FPICO2D08:03,38.70,51.57,12.88,33.27,23.95,-14.74,-38.10,34.94,-3.76,-9.72,***,***,***,***,***,***
B:FPICO2D08:05,31.41,31.67,0.26,0.84,5.98,-25.43,-80.96,11.01,-20.40,-64.96,***,***,***,***,***,***
B:FPICO2D08:01,***,11.06,***,***,8.09,***,***,7.41,***,***,6.52,***,***,16.55,***,***
B:FPICO2D08:02,***,17.98,***,***,10.54,***,***,9.82,***,***,9.55,***,***,11.96,***,***
B:FPICO2D08:04,***,27.48,***,***,10.37,***,***,15.91,***,***,12.48,***,***,13.99,***,***
Mean,35.05,27.95,7.10,20.26,11.79,23.27,66.37,15.82,19.23,54.87,9.52,25.54,72.85,14.16,20.89,59.59
