ProjectUnit = FPICO2D08
Summary Report = Surface Fuels
Report Attribute = Litter depth
Units = Inches

Macroplot,00Pro1-Attr,00Pre-Attr,00Pre-Diff,00Pre-%Diff,01Yr01-Attr,01Yr01-Diff,01Yr01-%Diff,01Yr02-Attr,01Yr02-Diff,01Yr02-%Diff,01Yr05-Attr,01Yr05-Diff,01Yr05-%Diff,01Yr09-Attr,01Yr09-Diff,01Yr09-%Diff
B:FPICO2D08:03,0.96,0.57,-0.38,-40.05,0.50,-0.46,-48.17,0.47,-0.48,-50.52,***,***,***,***,***,***
B:FPICO2D08:05,0.54,0.18,-0.37,-67.59,0.38,-0.16,-29.17,0.44,-0.10,-18.98,***,***,***,***,***,***
B:FPICO2D08:01,***,0.87,***,***,0.19,***,***,0.39,***,***,0.25,***,***,0.51,***,***
B:FPICO2D08:02,***,0.92,***,***,0.19,***,***,0.40,***,***,0.64,***,***,0.71,***,***
B:FPICO2D08:04,***,0.37,***,***,0.26,***,***,0.24,***,***,0.31,***,***,0.33,***,***
Mean,0.75,0.58,0.17,22.34,0.30,0.44,59.40,0.39,0.36,48.29,0.40,0.35,46.82,0.52,0.23,30.77
