ProjectUnit = FPICO2D08
Summary Report = Surface Fuels
Report Attribute = Duff depth
Units = Inches

Macroplot,00Pro1-Attr,00Pre-Attr,00Pre-Diff,00Pre-%Diff,01Yr01-Attr,01Yr01-Diff,01Yr01-%Diff,01Yr02-Attr,01Yr02-Diff,01Yr02-%Diff,01Yr05-Attr,01Yr05-Diff,01Yr05-%Diff,01Yr09-Attr,01Yr09-Diff,01Yr09-%Diff
B:FPICO2D08:03,0.58,1.30,0.72,125.22,0.45,-0.13,-22.17,0.26,-0.32,-55.22,***,***,***,***,***,***
B:FPICO2D08:05,1.25,0.45,-0.80,-63.80,0.16,-1.09,-87.40,0.07,-1.18,-94.20,***,***,***,***,***,***
B:FPICO2D08:01,***,0.67,***,***,1.05,***,***,1.03,***,***,0.85,***,***,1.08,***,***
B:FPICO2D08:02,***,0.32,***,***,0.70,***,***,0.68,***,***,0.30,***,***,0.38,***,***
B:FPICO2D08:04,***,1.04,***,***,0.67,***,***,0.54,***,***,0.09,***,***,0.15,***,***
Mean,0.91,0.75,0.16,17.42,0.61,0.31,33.50,0.52,0.40,43.51,0.41,0.50,54.89,0.54,0.38,41.19
