ProjectUnit = FPICO2D08
Summary Report = Surface Fuels
Report Attribute = 100-hr
Units = Tons per Acre

Macroplot,00Pro1-Attr,00Pre-Attr,00Pre-Diff,00Pre-%Diff,01Yr01-Attr,01Yr01-Diff,01Yr01-%Diff,01Yr02-Attr,01Yr02-Diff,01Yr02-%Diff,01Yr05-Attr,01Yr05-Diff,01Yr05-%Diff,01Yr09-Attr,01Yr09-Diff,01Yr09-%Diff
B:FPICO2D08:03,3.03,2.42,-0.61,-20.00,0.00,-3.03,-100.00,0.61,-2.42,-80.00,***,***,***,***,***,***
B:FPICO2D08:05,3.63,3.93,0.30,8.34,0.00,-3.63,-100.00,0.30,-3.33,-91.66,***,***,***,***,***,***
B:FPICO2D08:01,***,0.61,***,***,2.12,***,***,0.91,***,***,1.82,***,***,2.72,***,***
B:FPICO2D08:02,***,3.33,***,***,0.61,***,***,0.61,***,***,0.91,***,***,0.91,***,***
B:FPICO2D08:04,***,0.61,***,***,0.61,***,***,0.30,***,***,0.91,***,***,2.42,***,***
Mean,3.33,2.18,1.15,34.55,0.67,2.66,80.00,0.54,2.78,83.64,1.21,2.12,63.64,2.02,1.31,39.40
