ProjectUnit = FPICO2D08
Summary Report = Surface Fuels
Report Attribute = Litter
Units = Tons per Acre

Macroplot,00Pro1-Attr,00Pre-Attr,00Pre-Diff,00Pre-%Diff,01Yr01-Attr,01Yr01-Diff,01Yr01-%Diff,01Yr02-Attr,01Yr02-Diff,01Yr02-%Diff,01Yr05-Attr,01Yr05-Diff,01Yr05-%Diff,01Yr09-Attr,01Yr09-Diff,01Yr09-%Diff
B:FPICO2D08:03,4.77,2.86,-1.91,-40.05,2.47,-2.30,-48.17,2.36,-2.41,-50.52,***,***,***,***,***,***
B:FPICO2D08:05,2.70,0.87,-1.82,-67.59,1.91,-0.79,-29.17,2.18,-0.51,-18.98,***,***,***,***,***,***
B:FPICO2D08:01,***,4.34,***,***,0.97,***,***,1.93,***,***,1.24,***,***,2.56,***,***
B:FPICO2D08:02,***,4.57,***,***,0.92,***,***,1.97,***,***,3.19,***,***,3.53,***,***
B:FPICO2D08:04,***,1.85,***,***,1.30,***,***,1.20,***,***,1.52,***,***,1.66,***,***
Mean,3.73,2.90,0.83,22.34,1.51,2.22,59.40,1.93,1.80,48.29,1.98,1.75,46.82,2.58,1.15,30.77
