ProjectUnit = FPICO2D08
Summary Report = Surface Fuels
Report Attribute = Duff
Units = Tons per Acre

Macroplot,00Pro1-Attr,00Pre-Attr,00Pre-Diff,00Pre-%Diff,01Yr01-Attr,01Yr01-Diff,01Yr01-%Diff,01Yr02-Attr,01Yr02-Diff,01Yr02-%Diff,01Yr05-Attr,01Yr05-Diff,01Yr05-%Diff,01Yr09-Attr,01Yr09-Diff,01Yr09-%Diff
B:FPICO2D08:03,5.74,12.93,7.19,125.22,4.47,-1.27,-22.17,2.57,-3.17,-55.22,***,***,***,***,***,***
B:FPICO2D08:05,12.48,4.52,-7.96,-63.80,1.57,-10.91,-87.40,0.72,-11.75,-94.20,***,***,***,***,***,***
B:FPICO2D08:01,***,6.64,***,***,10.52,***,***,10.28,***,***,8.46,***,***,10.81,***,***
B:FPICO2D08:02,***,3.17,***,***,7.01,***,***,6.74,***,***,2.94,***,***,3.82,***,***
B:FPICO2D08:04,***,10.36,***,***,6.71,***,***,5.42,***,***,0.92,***,***,1.45,***,***
Mean,9.11,7.52,1.59,17.42,6.06,3.05,33.50,5.15,3.96,43.51,4.11,5.00,54.89,5.36,3.75,41.19
