ProjectUnit = FPICO2D08
Summary Report = Surface Fuels
Report Attribute = 1-hr
Units = Tons per Acre

Macroplot,00Pro1-Attr,00Pre-Attr,00Pre-Diff,00Pre-%Diff,01Yr01-Attr,01Yr01-Diff,01Yr01-%Diff,01Yr02-Attr,01Yr02-Diff,01Yr02-%Diff,01Yr05-Attr,01Yr05-Diff,01Yr05-%Diff,01Yr09-Attr,01Yr09-Diff,01Yr09-%Diff
B:FPICO2D08:03,0.31,0.16,-0.15,-48.05,0.08,-0.22,-72.73,0.06,-0.25,-81.82,***,***,***,***,***,***
B:FPICO2D08:05,0.23,0.10,-0.12,-54.39,0.01,-0.22,-96.49,0.14,-0.08,-36.84,***,***,***,***,***,***
B:FPICO2D08:01,***,0.15,***,***,0.11,***,***,0.09,***,***,0.14,***,***,1.01,***,***
B:FPICO2D08:02,***,0.16,***,***,0.14,***,***,0.13,***,***,0.20,***,***,0.21,***,***
B:FPICO2D08:04,***,0.31,***,***,0.12,***,***,0.06,***,***,0.19,***,***,0.15,***,***
Mean,0.27,0.18,0.09,33.14,0.09,0.17,65.38,0.10,0.17,63.88,0.18,0.09,33.83,0.46,-0.19,-72.61
