ProjectUnit = FPICO2D08
Summary Report = Surface Fuels
Report Attribute = 10-hr
Units = Tons per Acre

Macroplot,00Pro1-Attr,00Pre-Attr,00Pre-Diff,00Pre-%Diff,01Yr01-Attr,01Yr01-Diff,01Yr01-%Diff,01Yr02-Attr,01Yr02-Diff,01Yr02-%Diff,01Yr05-Attr,01Yr05-Diff,01Yr05-%Diff,01Yr09-Attr,01Yr09-Diff,01Yr09-%Diff
B:FPICO2D08:03,3.27,1.82,-1.44,-44.19,0.46,-2.81,-86.05,0.53,-2.74,-83.72,***,***,***,***,***,***
B:FPICO2D08:05,2.89,2.13,-0.76,-26.32,1.22,-1.67,-57.90,2.05,-0.84,-28.96,***,***,***,***,***,***
B:FPICO2D08:01,***,0.00,***,***,0.38,***,***,0.08,***,***,0.08,***,***,1.52,***,***
B:FPICO2D08:02,***,1.37,***,***,0.68,***,***,0.15,***,***,0.30,***,***,0.23,***,***
B:FPICO2D08:04,***,0.99,***,***,0.91,***,***,0.38,***,***,0.68,***,***,0.30,***,***
Mean,3.08,1.26,1.82,59.01,0.73,2.35,76.30,0.64,2.44,79.26,0.35,2.72,88.48,0.68,2.40,77.78
