ProjectUnit = FPICO2D08
Summary Report = Surface Fuels
Report Attribute = Total
Units = Tons per Acre

Macroplot,00Pro1-Attr,00Pre-Attr,00Pre-Diff,00Pre-%Diff,01Yr01-Attr,01Yr01-Diff,01Yr01-%Diff,01Yr02-Attr,01Yr02-Diff,01Yr02-%Diff,01Yr05-Attr,01Yr05-Diff,01Yr05-%Diff,01Yr09-Attr,01Yr09-Diff,01Yr09-%Diff
B:FPICO2D08:03,57.24,77.22,19.98,34.91,38.14,-19.10,-33.37,44.58,-12.65,-22.10,***,***,***,***,***,***
B:FPICO2D08:05,53.33,53.34,0.01,0.02,14.15,-39.18,-73.47,17.54,-35.79,-67.11,***,***,***,***,***,***
B:FPICO2D08:01,***,39.72,***,***,27.61,***,***,30.93,***,***,18.24,***,***,36.92,***,***
B:FPICO2D08:02,***,33.66,***,***,19.91,***,***,19.42,***,***,17.96,***,***,22.69,***,***
B:FPICO2D08:04,***,46.62,***,***,20.23,***,***,23.27,***,***,16.71,***,***,22.20,***,***
Mean,55.28,50.11,5.17,9.36,24.01,31.28,56.57,27.15,28.13,50.89,17.64,37.65,68.10,27.27,28.01,50.67
