ProjectUnit = FPIAT1D10
Summary Report = Surface Fuels
Report Attribute = Litter depth
Units = Inches

Macroplot,00PR01-Attr,00PRE-Attr,00PRE-Diff,00PRE-%Diff,01POST-Attr,01POST-Diff,01POST-%Diff,01YR01-Attr,01YR01-Diff,01YR01-%Diff,01YR05-Attr,01YR05-Diff,01YR05-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YR02-Attr,02YR02-Diff,02YR02-%Diff,02YR05-Attr,02YR05-Diff,02YR05-%Diff
FPIAT1D1004,0.84,1.04,0.20,23.58,0.58,-0.26,-31.34,0.34,-0.50,-60.00,0.63,-0.21,-25.37,0.28,-0.56,-66.57,0.75,-0.09,-10.75,0.46,-0.38,-45.07
FPIAT1D1006,0.67,0.56,-0.10,-15.41,0.39,-0.28,-41.35,0.30,-0.37,-55.64,0.56,-0.11,-16.17,0.19,-0.48,-72.18,0.34,-0.33,-48.87,0.58,-0.09,-13.16
FPIAT1D1007,0.76,1.05,0.30,38.94,***,***,***,0.57,-0.19,-25.41,0.92,0.17,21.78,0.05,-0.71,-94.06,0.23,-0.53,-70.30,0.36,-0.40,-52.81
FPIAT1D1009,0.77,0.61,-0.17,-21.36,0.40,-0.37,-47.90,0.51,-0.27,-34.63,***,***,***,0.18,-0.60,-77.35,0.36,-0.42,-54.05,0.60,-0.18,-22.98
FPIAT1D1005,***,0.96,***,***,***,***,***,***,***,***,0.55,***,***,0.26,***,***,0.45,***,***,0.71,***,***
Mean,0.76,0.84,-0.08,-11.20,0.46,0.30,39.87,0.43,0.33,43.94,0.66,0.09,12.37,0.19,0.57,75.14,0.42,0.34,44.20,0.54,0.22,28.71
