ProjectUnit = FPIAT1D10
Summary Report = Surface Fuels
Report Attribute = 1000-hr Rotten
Units = Tons per Acre

Macroplot,00PR01-Attr,00PRE-Attr,00PRE-Diff,00PRE-%Diff,01POST-Attr,01POST-Diff,01POST-%Diff,01YR01-Attr,01YR01-Diff,01YR01-%Diff,01YR05-Attr,01YR05-Diff,01YR05-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YR02-Attr,02YR02-Diff,02YR02-%Diff,02YR05-Attr,02YR05-Diff,02YR05-%Diff
FPIAT1D1004,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.37,0.37,***,0.00,0.00,0.00
FPIAT1D1006,0.67,0.92,0.26,38.39,0.53,-0.14,-20.38,0.41,-0.26,-38.89,0.48,-0.19,-28.69,0.00,-0.67,-100.00,0.00,-0.67,-100.00,0.00,-0.67,-100.00
FPIAT1D1007,0.29,0.77,0.48,164.97,***,***,***,1.24,0.95,325.83,0.79,0.50,171.86,0.92,0.63,217.32,0.69,0.40,138.62,0.00,-0.29,-100.00
FPIAT1D1009,0.33,0.00,-0.33,-100.00,0.00,-0.33,-100.00,0.47,0.15,44.62,***,***,***,0.00,-0.33,-100.00,0.00,-0.33,-100.00,0.00,-0.33,-100.00
FPIAT1D1005,***,0.28,***,***,***,***,***,***,***,***,0.21,***,***,0.88,***,***,0.32,***,***,0.00,***,***
Mean,0.32,0.39,-0.07,-23.01,0.18,0.14,44.81,0.53,-0.21,-64.91,0.37,-0.05,-15.35,0.36,-0.04,-12.53,0.28,0.04,13.28,0.00,0.32,100.00
