ProjectUnit = FPIAT1D10
Summary Report = Surface Fuels
Report Attribute = Duff depth
Units = Inches

Macroplot,00PR01-Attr,00PRE-Attr,00PRE-Diff,00PRE-%Diff,01POST-Attr,01POST-Diff,01POST-%Diff,01YR01-Attr,01YR01-Diff,01YR01-%Diff,01YR05-Attr,01YR05-Diff,01YR05-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YR02-Attr,02YR02-Diff,02YR02-%Diff,02YR05-Attr,02YR05-Diff,02YR05-%Diff
FPIAT1D1004,0.65,0.81,0.16,23.75,0.38,-0.28,-42.53,0.51,-0.14,-21.46,0.48,-0.18,-27.20,0.30,-0.36,-54.41,0.29,-0.37,-56.32,0.01,-0.64,-98.08
FPIAT1D1006,0.72,0.90,0.18,24.91,0.40,-0.33,-45.33,0.26,-0.47,-64.71,0.53,-0.20,-26.99,0.27,-0.45,-62.28,0.27,-0.46,-62.98,0.13,-0.60,-82.35
FPIAT1D1007,0.65,0.43,-0.23,-34.87,***,***,***,0.45,-0.21,-31.80,0.65,0.00,0.00,0.36,-0.29,-44.83,0.27,-0.39,-59.00,0.01,-0.64,-98.47
FPIAT1D1009,0.45,0.14,-0.31,-68.54,0.16,-0.28,-63.48,0.33,-0.11,-25.28,***,***,***,0.42,-0.03,-5.62,0.31,-0.14,-30.34,0.04,-0.40,-90.45
FPIAT1D1005,***,0.52,***,***,***,***,***,***,***,***,0.44,***,***,0.28,***,***,0.38,***,***,0.06,***,***
Mean,0.62,0.56,0.06,9.57,0.31,0.31,49.71,0.39,0.23,37.51,0.52,0.10,15.47,0.33,0.29,47.18,0.30,0.32,51.06,0.05,0.57,91.75
