ProjectUnit = FPIAT1D10
Summary Report = Surface Fuels
Report Attribute = 1000-hr Sound
Units = Tons per Acre

Macroplot,00PR01-Attr,00PRE-Attr,00PRE-Diff,00PRE-%Diff,01POST-Attr,01POST-Diff,01POST-%Diff,01YR01-Attr,01YR01-Diff,01YR01-%Diff,01YR05-Attr,01YR05-Diff,01YR05-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YR02-Attr,02YR02-Diff,02YR02-%Diff,02YR05-Attr,02YR05-Diff,02YR05-%Diff
FPIAT1D1004,0.34,0.00,-0.34,-100.00,3.07,2.72,794.36,6.76,6.42,1871.94,0.52,0.18,51.47,17.65,17.30,5047.18,32.69,32.35,9436.18,43.56,43.22,12606.10
FPIAT1D1006,1.44,1.55,0.11,7.95,10.53,9.09,632.33,22.26,20.82,1448.22,17.64,16.20,1126.91,14.87,13.43,934.40,40.48,39.04,2715.72,26.09,24.65,1714.53
FPIAT1D1007,0.00,0.34,0.34,***,***,***,***,1.11,1.11,***,12.21,12.21,***,15.03,15.03,***,30.17,30.17,***,33.40,33.40,***
FPIAT1D1009,0.21,0.80,0.58,270.96,2.81,2.59,1209.29,0.24,0.02,10.89,***,***,***,6.90,6.69,3119.31,11.67,11.46,5345.26,18.03,17.81,8311.54
FPIAT1D1005,***,1.86,***,***,***,***,***,***,***,***,35.48,***,***,47.96,***,***,48.53,***,***,64.39,***,***
Mean,0.50,0.91,-0.41,-82.54,5.47,-4.97,-996.22,7.59,-7.09,-1422.35,16.46,-15.96,-3201.02,20.48,-19.98,-4006.88,32.71,-32.21,-6458.50,37.09,-36.59,-7337.55
