Park,Macroplot,SampleEventDate,SampleEventTeam,SampleEventComment,MonStatusOrd,MonStatus,DefaultMonStatus,Purpose,LocatedBy,Type,Latitude,Longitude,UTM_X,UTM_Y,UTM_Zone,Datum,PDOP,Precision,DateIn,FutureVisit,DateOut,Elevation,ElevationUnits,Azimuth,Aspect,SlopeHill,SlopeTransect,StartPoint,Directions,Comments,MetaData,UV1,UV2,UV3,UV4,UV5,UV6,UV7,UV8
YOSE,Big Meadow 044,,,,,,,,,CBI,,,259030,4181206,11N,NAD83,,0,9/30/10,,,,,192,192,27,27,,,,,,,,,,,,
YOSE,Big Meadow 044,10/5/10 8:31,,,0,ReCBI,ReCBI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOSE,Big Meadow 045,,,,,,,,,CBI,,,254790,4181922,11N,NAD83,,0,9/27/10,,,,,246,246,13,13,,,,,,,,,,,,
YOSE,Big Meadow 045,10/5/10 8:31,,,0,ReCBI,ReCBI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOSE,Big Meadow 047,,,,,,,,,CBI,,,257276,4182800,11N,NAD83,,0,9/28/10,,,,,290,290,35,35,,,,,,,,,,,,
YOSE,Big Meadow 047,10/5/10 8:31,,,0,ReCBI,ReCBI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOSE,Big Meadow 048,,,,,,,,,CBI,,,256065,4182713,11N,NAD83,,0,9/30/10,,,,,191,191,13,13,,,,,,,,,,,,
YOSE,Big Meadow 048,10/5/10 8:31,,,0,ReCBI,ReCBI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOSE,Big Meadow 049,,,,,,,,,CBI,,,256506,4182671,11N,NAD83,,0,9/30/10,,,,,167,167,20,20,,,,,,,,,,,,
YOSE,Big Meadow 049,10/5/10 8:31,,,0,ReCBI,ReCBI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOSE,Big Meadow 050,,,,,,,,,CBI,,,257708,4181799,11N,NAD83,,0,9/28/10,,,,,282,282,23,23,,,,,,,,,,,,
YOSE,Big Meadow 050,10/5/10 8:31,,,0,ReCBI,ReCBI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOSE,Big Meadow 051,,,,,,,,,CBI,,,256211,4182038,11n,nad83,,0,9/30/10,,,,,161,161,42,42,,,,,,,,,,,,
YOSE,Big Meadow 051,10/5/10 8:31,,,0,ReCBI,ReCBI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOSE,Big Meadow 052,,,,,,,,,CBI,,,256812,4182572,11N,NAD83,,0,9/30/10,,,,,147,147,10,10,,,,,,,,,,,,
YOSE,Big Meadow 052,10/5/10 8:31,,,0,ReCBI,ReCBI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOSE,Big Meadow 054,,,,,,,,,CBI,,,254023,4182086,11N,NAD83,,0,9/27/10,,,,,252,252,6,6,,,,,,,,,,,,
YOSE,Big Meadow 054,10/5/10 8:31,,,0,ReCBI,ReCBI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOSE,Big Meadow 055,,,,,,,,,CBI,,,257734,4183338,11N,NAD83,,0,9/28/10,,,,,75,75,14,14,,,,,,,,,,,,
YOSE,Big Meadow 055,10/5/10 8:31,,,0,ReCBI,ReCBI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOSE,Big Meadow 056,,,,,,,,,CBI,,,255041,4182107,11N,NAD83,,0,9/27/10,,,,,240,240,25,25,,,,,,,,,,,,
YOSE,Big Meadow 056,10/5/10 8:31,,,0,ReCBI,ReCBI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOSE,Big Meadow 057,,,,,,,,,CBI,,,257272,4182552,11N,NAD83,,0,9/28/10,,,,,72,72,45,45,,,,,,,,,,,,
YOSE,Big Meadow 057,10/5/10 8:31,,,0,ReCBI,ReCBI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOSE,Big Meadow 060,,,,,,,,,CBI,,,257554,4182562,11N,NAD83,,0,9/28/10,,,,,90,90,15,15,,,,,,,,,,,,
YOSE,Big Meadow 060,10/5/10 8:31,,,0,ReCBI,ReCBI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOSE,Big Meadow 061,,,,,,,,,CBI,,,256884,4182333,11N,NAD83,,0,9/30/10,,,,,231,231,22,22,,,,,,,,,,,,
YOSE,Big Meadow 061,10/5/10 8:31,,,0,ReCBI,ReCBI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOSE,Big Meadow 062,,,,,,,,,CBI,,,257566,4182975,11N,NAD83,,0,9/28/10,,,,,146,146,19,19,,,,,,,,,,,,
YOSE,Big Meadow 062,10/5/10 8:31,,,0,ReCBI,ReCBI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOSE,Big Meadow 063,,,,,,,,,CBI,,,254074,4182111,11N,NAD83,,0,9/27/10,,,,,235,235,4,4,,,,,,,,,,,,
