ProjectUnit = PIPO1G09
Summary Report = Surface Fuels
Report Attribute = 100-hr
Units = Tons per Acre

Macroplot,01PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,01YEAR1-Attr,01YEAR1-Diff,01YEAR1-%Diff,01YEAR2-Attr,01YEAR2-Diff,01YEAR2-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YEAR1-Attr,02YEAR1-Diff,02YEAR1-%Diff,02YEAR2-Attr,02YEAR2-Diff,02YEAR2-%Diff,02YEAR5-Attr,02YEAR5-Diff,02YEAR5-%Diff,02YEAR10-Attr,02YEAR10-Diff,02YEAR10-%Diff,03POST-Attr,03POST-Diff,03POST-%Diff
B_FPIPO1G09_01,2.73,0.30,-2.43,-88.90,0.91,-1.82,-66.69,0.61,-2.12,-77.78,0.61,-2.12,-77.79,0.30,-2.43,-88.90,0.91,-1.82,-66.69,0.91,-1.82,-66.69,0.61,-2.12,-77.79,0.91,-1.82,-66.69
B_FPIPO1G09_02,1.82,0.00,-1.82,-100.00,0.30,-1.52,-83.36,0.00,-1.82,-100.00,0.30,-1.52,-83.36,0.00,-1.82,-100.00,0.30,-1.52,-83.36,0.00,-1.82,-100.00,0.00,-1.82,-100.00,0.00,-1.82,-100.00
B_FPIPO1G09_03,2.83,0.00,-2.83,-100.00,0.00,-2.83,-100.00,0.00,-2.83,-100.00,0.31,-2.52,-89.09,0.31,-2.52,-89.09,0.31,-2.52,-89.09,0.00,-2.83,-100.00,0.31,-2.52,-89.09,0.63,-2.19,-77.59
B_FPIPO1G09_04,0.30,0.30,0.00,0.00,0.31,0.00,0.52,0.31,0.00,0.52,0.31,0.00,0.52,0.00,-0.30,-100.00,0.31,0.00,0.52,0.30,0.00,0.00,0.00,-0.30,-100.00,0.61,0.30,99.73
B_FPIPO1G09_05,0.00,0.00,0.00,0.00,0.30,0.30,***,0.30,0.30,***,0.30,0.30,***,2.13,2.13,***,0.61,0.61,***,1.21,1.21,***,0.30,0.30,***,1.60,1.60,***
B_FPIPO1G09_06,0.31,0.61,0.31,100.00,1.84,1.53,501.25,1.53,1.22,400.63,0.31,0.00,0.00,0.61,0.31,100.00,0.61,0.31,100.00,0.92,0.61,201.25,1.52,1.22,398.56,0.61,0.30,99.03
B_FPIPO1G09_07,1.82,0.91,-0.91,-49.97,***,***,***,0.91,-0.91,-49.97,0.00,-1.82,-100.00,0.61,-1.21,-66.63,0.61,-1.21,-66.68,0.61,-1.21,-66.68,0.61,-1.21,-66.66,0.91,-0.91,-50.03
B_FPIPO1G09_08,1.22,0.61,-0.61,-49.83,***,***,***,0.30,-0.91,-74.93,1.22,0.00,0.05,0.61,-0.61,-50.02,0.30,-0.91,-75.01,0.91,-0.30,-24.96,0.30,-0.91,-75.01,0.00,-1.22,-100.00
B_FPIPO1G09_09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.30,***,0.00,0.00,0.00,0.61,0.61,***,0.31,0.31,***,0.00,0.00,0.00,0.30,0.30,***
B_FPIPO1G09_10,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_FPIPO1G09_11,1.21,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_FPIPO1G09_12,0.61,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_FPIPO1G09_13,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_FPIPO1G09_14,1.21,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_FPIPO1G09_15,2.75,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_FPIPO1G09_16,1.22,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mean,1.13,0.30,0.82,72.97,0.52,0.60,53.62,0.44,0.69,60.93,0.41,0.72,63.96,0.51,0.62,54.96,0.51,0.62,54.95,0.57,0.55,48.97,0.41,0.72,63.96,0.62,0.51,44.99
