ProjectUnit = PIPO1G09
Summary Report = Surface Fuels
Report Attribute = 10-hr
Units = Tons per Acre

Macroplot,01PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,01YEAR1-Attr,01YEAR1-Diff,01YEAR1-%Diff,01YEAR2-Attr,01YEAR2-Diff,01YEAR2-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YEAR1-Attr,02YEAR1-Diff,02YEAR1-%Diff,02YEAR2-Attr,02YEAR2-Diff,02YEAR2-%Diff,02YEAR5-Attr,02YEAR5-Diff,02YEAR5-%Diff,02YEAR10-Attr,02YEAR10-Diff,02YEAR10-%Diff,03POST-Attr,03POST-Diff,03POST-%Diff
B_FPIPO1G09_01,1.07,0.38,-0.69,-64.28,0.08,-0.99,-92.85,0.08,-0.99,-92.86,0.30,-0.76,-71.42,0.15,-0.91,-85.71,0.08,-0.99,-92.85,0.23,-0.84,-78.57,0.00,-1.07,-100.00,0.15,-0.91,-85.70
B_FPIPO1G09_02,1.14,0.00,-1.14,-100.00,0.15,-0.99,-86.69,0.23,-0.91,-80.04,0.76,-0.38,-33.45,0.15,-0.99,-86.69,0.46,-0.69,-60.07,0.84,-0.31,-26.80,0.30,-0.84,-73.38,0.76,-0.38,-33.39
B_FPIPO1G09_03,3.61,0.55,-3.06,-84.80,0.16,-3.45,-95.65,0.08,-3.53,-97.86,0.86,-2.75,-76.16,0.40,-3.21,-89.03,0.47,-3.14,-86.97,1.02,-2.59,-71.71,0.16,-3.45,-95.70,0.31,-3.30,-91.42
B_FPIPO1G09_04,0.99,0.53,-0.46,-46.29,0.08,-0.92,-92.28,0.08,-0.92,-92.34,0.15,-0.84,-84.62,0.31,-0.69,-69.28,0.08,-0.92,-92.28,0.46,-0.54,-53.96,1.14,0.15,14.91,2.29,1.29,130.32
B_FPIPO1G09_05,1.60,0.61,-0.99,-61.78,0.46,-1.14,-71.49,0.08,-1.53,-95.25,0.92,-0.69,-42.81,2.59,0.99,61.91,1.37,-0.23,-14.28,1.07,-0.53,-33.34,0.69,-0.92,-57.19,0.77,-0.83,-51.99
B_FPIPO1G09_06,0.85,0.46,-0.38,-45.43,0.84,0.00,-0.11,0.38,-0.46,-54.57,1.07,0.23,27.05,0.38,-0.46,-54.58,0.23,-0.62,-72.74,0.15,-0.69,-81.79,0.15,-0.69,-81.95,0.08,-0.77,-90.92
B_FPIPO1G09_07,0.61,0.31,-0.31,-50.00,***,***,***,0.38,-0.23,-37.56,1.14,0.53,87.47,0.00,-0.61,-100.00,0.00,-0.61,-100.00,0.15,-0.46,-75.00,0.30,-0.31,-50.06,0.23,-0.38,-62.55
B_FPIPO1G09_08,0.31,0.08,-0.23,-75.01,***,***,***,0.31,0.00,-0.06,0.84,0.53,174.30,0.92,0.61,198.97,0.38,0.08,24.55,0.23,-0.08,-25.27,0.23,-0.08,-25.19,0.46,0.15,49.59
B_FPIPO1G09_09,0.38,0.54,0.15,39.93,0.15,-0.23,-60.31,0.15,-0.23,-59.88,0.31,-0.08,-19.85,0.23,-0.15,-40.25,0.23,-0.15,-40.25,0.00,-0.38,-100.00,0.15,-0.23,-60.12,0.31,-0.08,-19.77
B_FPIPO1G09_10,0.08,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_FPIPO1G09_11,0.84,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_FPIPO1G09_12,0.23,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_FPIPO1G09_13,0.92,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_FPIPO1G09_14,1.14,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_FPIPO1G09_15,1.30,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_FPIPO1G09_16,2.29,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mean,1.08,0.38,0.70,64.61,0.27,0.81,74.77,0.20,0.89,81.98,0.71,0.38,34.83,0.57,0.51,47.48,0.37,0.72,66.26,0.46,0.62,57.52,0.35,0.74,67.98,0.59,0.49,45.19
