ProjectUnit = FABMA1D08
Summary Report = Surface Fuels
Report Attribute = 1-hr
Units = Tons per Acre

Macroplot,00Pro1-Attr,00Pre-Attr,00Pre-Diff,00Pre-%Diff,01Yr01-Attr,01Yr01-Diff,01Yr01-%Diff,01Yr02-Attr,01Yr02-Diff,01Yr02-%Diff,01Yr05-Attr,01Yr05-Diff,01Yr05-%Diff,01Post-Attr,01Post-Diff,01Post-%Diff
B:FABMA1D08:06,0.24,0.30,0.06,25.73,***,***,***,0.05,-0.19,-79.59,0.16,-0.08,-32.09,***,***,***
B:FABMA1D08:07,0.19,0.23,0.04,21.40,***,***,***,0.14,-0.04,-23.31,0.14,-0.05,-27.85,***,***,***
B:FABMA1D08:01,***,0.23,***,***,0.04,***,***,0.11,***,***,***,***,***,0.01,***,***
B:FABMA1D08:02,***,0.27,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABMA1D08:03,***,0.19,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABMA1D08:04,***,0.33,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABMA1D08:05,***,0.28,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABMA1D08:08,***,0.30,***,***,0.03,***,***,0.05,***,***,***,***,***,0.00,***,***
B:FABMA1D08:60,***,0.67,***,***,0.13,***,***,0.60,***,***,***,***,***,0.00,***,***
Mean,0.21,0.31,-0.10,-46.88,0.07,0.14,68.52,0.19,0.02,9.79,0.15,0.06,30.20,0.00,0.21,98.71
