ProjectUnit = FABMA1D08
Summary Report = Surface Fuels
Report Attribute = Litter
Units = Tons per Acre

Macroplot,00Pro1-Attr,00Pre-Attr,00Pre-Diff,00Pre-%Diff,01Yr01-Attr,01Yr01-Diff,01Yr01-%Diff,01Yr02-Attr,01Yr02-Diff,01Yr02-%Diff,01Yr05-Attr,01Yr05-Diff,01Yr05-%Diff,01Post-Attr,01Post-Diff,01Post-%Diff
B:FABMA1D08:06,2.57,2.60,0.02,0.97,***,***,***,3.23,0.66,25.73,2.32,-0.25,-9.71,***,***,***
B:FABMA1D08:07,2.98,3.86,0.87,29.29,***,***,***,5.02,2.03,68.20,3.09,0.11,3.77,***,***,***
B:FABMA1D08:01,***,0.39,***,***,2.61,***,***,2.41,***,***,***,***,***,0.17,***,***
B:FABMA1D08:02,***,4.59,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABMA1D08:03,***,3.47,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABMA1D08:04,***,2.77,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABMA1D08:05,***,3.21,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABMA1D08:08,***,2.23,***,***,1.04,***,***,0.80,***,***,***,***,***,0.00,***,***
B:FABMA1D08:60,***,0.99,***,***,1.22,***,***,3.44,***,***,***,***,***,0.14,***,***
Mean,2.78,2.68,0.10,3.57,1.62,1.15,41.57,2.98,-0.20,-7.33,2.71,0.07,2.47,0.10,2.67,96.25
