ProjectUnit = FABMA1D08
Summary Report = Surface Fuels
Report Attribute = 10-hr
Units = Tons per Acre

Macroplot,00Pro1-Attr,00Pre-Attr,00Pre-Diff,00Pre-%Diff,01Yr01-Attr,01Yr01-Diff,01Yr01-%Diff,01Yr02-Attr,01Yr02-Diff,01Yr02-%Diff,01Yr05-Attr,01Yr05-Diff,01Yr05-%Diff,01Post-Attr,01Post-Diff,01Post-%Diff
B:FABMA1D08:06,0.99,1.22,0.23,23.23,***,***,***,0.92,-0.08,-7.59,1.30,0.31,31.11,***,***,***
B:FABMA1D08:07,3.14,1.07,-2.07,-65.86,***,***,***,0.54,-2.60,-82.92,1.15,-1.99,-63.47,***,***,***
B:FABMA1D08:01,***,2.07,***,***,0.16,***,***,1.18,***,***,***,***,***,0.24,***,***
B:FABMA1D08:02,***,1.53,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABMA1D08:03,***,1.76,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABMA1D08:04,***,2.06,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABMA1D08:05,***,1.96,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABMA1D08:08,***,1.60,***,***,0.00,***,***,0.08,***,***,***,***,***,0.00,***,***
B:FABMA1D08:60,***,5.94,***,***,0.46,***,***,1.22,***,***,***,***,***,0.08,***,***
Mean,2.06,2.13,-0.07,-3.36,0.21,1.86,90.06,0.79,1.28,61.97,1.22,0.84,40.76,0.10,1.96,94.91
