ProjectUnit = FABCO1T08
Summary Report = Surface Fuels
Report Attribute = Litter depth
Units = Inches

Macroplot,Pre00Year01-Attr,Pre00Year02-Attr,Pre00Year02-Diff,Pre00Year02-%Diff,Pre00-Attr,Pre00-Diff,Pre00-%Diff,Post01-Attr,Post01-Diff,Post01-%Diff,Re01Year01-Attr,Re01Year01-Diff,Re01Year01-%Diff,Re01Year02-Attr,Re01Year02-Diff,Re01Year02-%Diff,Re01Year05-Attr,Re01Year05-Diff,Re01Year05-%Diff,Re01Year09-Attr,Re01Year09-Diff,Re01Year09-%Diff,Re01Year10-Attr,Re01Year10-Diff,Re01Year10-%Diff,Re01Year15-Attr,Re01Year15-Diff,Re01Year15-%Diff,Post02-Attr,Post02-Diff,Post02-%Diff,Re02Year01-Attr,Re02Year01-Diff,Re02Year01-%Diff,Re02Year02-Attr,Re02Year02-Diff,Re02Year02-%Diff,Re02Year05-Attr,Re02Year05-Diff,Re02Year05-%Diff,Re02Year10-Attr,Re02Year10-Diff,Re02Year10-%Diff,Post03-Attr,Post03-Diff,Post03-%Diff,Re02Year5-Attr,Re02Year5-Diff,Re02Year5-%Diff,Re01Year1-Attr,Re01Year1-Diff,Re01Year1-%Diff,Re03Year1-Attr,Re03Year1-Diff,Re03Year1-%Diff,Re03Year01-Attr,Re03Year01-Diff,Re03Year01-%Diff,Re03Year2-Attr,Re03Year2-Diff,Re03Year2-%Diff,Re01year05-Attr,Re01year05-Diff,Re01year05-%Diff,Re03Year02-Attr,Re03Year02-Diff,Re03Year02-%Diff,01Year01-Attr,01Year01-Diff,01Year01-%Diff
FABCO1T0812,***,***,***,***,3.63,***,***,0.02,***,***,0.23,***,***,0.79,***,***,1.91,***,***,***,***,***,1.84,***,***,0.83,***,***,0.00,***,***,0.59,***,***,0.68,***,***,***,***,***,***,***,***,***,***,***,0.57,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0813,***,***,***,***,3.71,***,***,0.90,***,***,0.87,***,***,1.39,***,***,2.84,***,***,***,***,***,***,***,***,***,***,***,0.84,***,***,0.79,***,***,0.46,***,***,0.77,***,***,0.81,***,***,0.12,***,***,***,***,***,***,***,***,0.12,***,***,***,***,***,0.18,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0814,***,***,***,***,3.79,***,***,1.29,***,***,0.92,***,***,1.28,***,***,0.96,***,***,***,***,***,***,***,***,***,***,***,0.43,***,***,0.79,***,***,0.55,***,***,0.77,***,***,0.42,***,***,0.14,***,***,***,***,***,***,***,***,0.13,***,***,***,***,***,***,***,***,***,***,***,0.25,***,***,***,***,***
FABCO1T0816,***,***,***,***,2.87,***,***,0.03,***,***,0.28,***,***,0.55,***,***,0.84,***,***,0.52,***,***,***,***,***,***,***,***,0.05,***,***,0.39,***,***,0.36,***,***,0.48,***,***,1.29,***,***,***,***,***,***,***,***,***,***,***,0.42,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0817,***,***,***,***,2.19,***,***,0.08,***,***,0.36,***,***,0.35,***,***,0.75,***,***,0.58,***,***,***,***,***,***,***,***,0.02,***,***,0.16,***,***,0.36,***,***,0.31,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0818,***,***,***,***,0.98,***,***,0.02,***,***,0.17,***,***,0.87,***,***,0.76,***,***,1.43,***,***,***,***,***,***,***,***,0.31,***,***,0.32,***,***,0.43,***,***,0.38,***,***,1.08,***,***,***,***,***,***,***,***,***,***,***,0.33,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0819,***,***,***,***,1.05,***,***,0.14,***,***,0.22,***,***,0.98,***,***,1.46,***,***,0.71,***,***,***,***,***,***,***,***,0.30,***,***,0.19,***,***,0.23,***,***,0.49,***,***,1.38,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.24,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0822,***,***,***,***,2.26,***,***,***,***,***,1.28,***,***,0.30,***,***,0.47,***,***,***,***,***,***,***,***,***,***,***,0.45,***,***,0.83,***,***,0.36,***,***,0.76,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0823,***,***,***,***,1.47,***,***,***,***,***,0.98,***,***,0.43,***,***,1.42,***,***,***,***,***,***,***,***,***,***,***,0.35,***,***,0.82,***,***,0.81,***,***,0.70,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0825,***,***,***,***,0.98,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0826,***,***,***,***,1.27,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0827,***,***,***,***,1.58,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mean,2.62,1.22,1.41,53.61,1.90,0.72,27.51,0.29,2.33,88.82,0.71,1.91,73.03,0.83,1.79,68.15,1.25,1.37,52.30,0.81,1.81,69.12,1.37,1.25,47.67,0.77,1.85,70.50,0.24,2.38,90.69,0.49,2.13,81.33,0.56,2.06,78.60,0.70,1.92,73.27,1.55,1.07,40.74,0.10,2.53,96.34,0.48,2.15,81.85,0.18,2.44,93.23,0.28,2.34,89.28,0.24,2.38,90.94,0.31,2.31,88.08,0.54,2.08,79.40,0.25,2.37,90.37,0.27,2.35,89.60
