ProjectUnit = FABCO1T08
Summary Report = Surface Fuels
Report Attribute = 1-hr
Units = Tons per Acre

Macroplot,Pre00Year01-Attr,Pre00Year02-Attr,Pre00Year02-Diff,Pre00Year02-%Diff,Pre00-Attr,Pre00-Diff,Pre00-%Diff,Post01-Attr,Post01-Diff,Post01-%Diff,Re01Year01-Attr,Re01Year01-Diff,Re01Year01-%Diff,Re01Year02-Attr,Re01Year02-Diff,Re01Year02-%Diff,Re01Year05-Attr,Re01Year05-Diff,Re01Year05-%Diff,Re01Year09-Attr,Re01Year09-Diff,Re01Year09-%Diff,Re01Year10-Attr,Re01Year10-Diff,Re01Year10-%Diff,Re01Year15-Attr,Re01Year15-Diff,Re01Year15-%Diff,Post02-Attr,Post02-Diff,Post02-%Diff,Re02Year01-Attr,Re02Year01-Diff,Re02Year01-%Diff,Re02Year02-Attr,Re02Year02-Diff,Re02Year02-%Diff,Re02Year05-Attr,Re02Year05-Diff,Re02Year05-%Diff,Re02Year10-Attr,Re02Year10-Diff,Re02Year10-%Diff,Post03-Attr,Post03-Diff,Post03-%Diff,Re02Year5-Attr,Re02Year5-Diff,Re02Year5-%Diff,Re01Year1-Attr,Re01Year1-Diff,Re01Year1-%Diff,Re03Year1-Attr,Re03Year1-Diff,Re03Year1-%Diff,Re03Year01-Attr,Re03Year01-Diff,Re03Year01-%Diff,Re03Year2-Attr,Re03Year2-Diff,Re03Year2-%Diff,Re01year05-Attr,Re01year05-Diff,Re01year05-%Diff,Re03Year02-Attr,Re03Year02-Diff,Re03Year02-%Diff,01Year01-Attr,01Year01-Diff,01Year01-%Diff
FABCO1T0801,0.54,***,***,***,0.61,0.07,13.24,***,***,***,0.76,0.22,40.44,0.37,-0.17,-31.62,***,***,***,***,***,***,***,***,***,***,***,***,0.11,-0.43,-80.15,0.26,-0.28,-52.21,0.51,-0.03,-5.88,0.74,0.20,37.50,0.55,0.01,2.21,***,***,***,***,***,***,***,***,***,0.04,-0.50,-91.91,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0802,0.23,***,***,***,0.29,0.06,25.85,***,***,***,0.37,0.14,60.23,0.30,0.07,31.05,***,***,***,***,***,***,***,***,***,***,***,***,0.02,-0.22,-93.10,0.13,-0.10,-44.84,0.29,0.06,25.84,0.49,0.26,112.05,0.49,0.26,112.07,***,***,***,***,***,***,***,***,***,0.09,-0.14,-62.06,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0803,0.56,***,***,***,0.22,-0.33,-59.78,***,***,***,0.22,-0.33,-59.72,0.41,-0.14,-25.99,***,***,***,***,***,***,***,***,***,***,***,***,0.00,-0.55,-99.13,0.31,-0.25,-44.65,0.33,-0.23,-41.13,1.10,0.54,97.06,0.66,0.10,17.91,***,***,***,***,***,***,***,***,***,0.00,-0.55,-99.29,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0804,0.52,0.36,-0.17,-31.67,0.45,-0.07,-13.90,0.02,-0.51,-96.87,0.10,-0.43,-81.63,0.15,-0.37,-70.74,0.21,-0.31,-60.17,***,***,***,***,***,***,***,***,***,***,***,***,0.10,-0.42,-80.77,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0805,0.73,0.48,-0.24,-33.33,0.61,-0.12,-16.39,0.02,-0.70,-96.72,0.14,-0.59,-81.42,0.29,-0.44,-60.66,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.10,-0.63,-86.89,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.40,-0.33,-44.81,***,***,***,***,***,***
FABCO1T0806,1.12,0.64,-0.48,-42.91,0.61,-0.51,-45.64,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.07,-1.05,-93.59
FABCO1T0807,0.67,1.32,0.65,98.35,1.57,0.90,135.33,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.12,-0.54,-81.83,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0815,0.24,1.88,1.65,688.32,0.98,0.75,311.78,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.25,0.01,4.99
FABCO1T0824,0.31,***,***,***,0.40,0.09,27.50,0.00,-0.31,-98.71,0.09,-0.22,-71.52,0.18,-0.13,-42.70,0.35,0.04,11.53,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0809,***,***,***,***,0.69,***,***,0.04,***,***,0.15,***,***,0.31,***,***,0.37,***,***,***,***,***,0.43,***,***,0.74,***,***,0.01,***,***,0.31,***,***,0.57,***,***,***,***,***,***,***,***,***,***,***,0.78,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0810,***,***,***,***,0.22,***,***,0.17,***,***,0.24,***,***,0.25,***,***,0.59,***,***,***,***,***,***,***,***,***,***,***,0.15,***,***,0.15,***,***,0.08,***,***,0.31,***,***,0.33,***,***,0.01,***,***,***,***,***,***,***,***,0.07,***,***,***,***,***,0.22,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0811,***,***,***,***,0.41,***,***,0.02,***,***,0.14,***,***,0.26,***,***,0.38,***,***,***,***,***,0.40,***,***,0.36,***,***,0.00,***,***,0.16,***,***,0.32,***,***,***,***,***,***,***,***,***,***,***,0.03,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0812,***,***,***,***,0.94,***,***,0.04,***,***,0.21,***,***,0.66,***,***,0.66,***,***,***,***,***,0.60,***,***,0.97,***,***,0.00,***,***,0.25,***,***,0.32,***,***,***,***,***,***,***,***,***,***,***,1.28,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0813,***,***,***,***,0.09,***,***,0.07,***,***,0.04,***,***,0.11,***,***,0.14,***,***,***,***,***,***,***,***,***,***,***,0.11,***,***,0.13,***,***,0.18,***,***,0.18,***,***,0.29,***,***,0.01,***,***,***,***,***,***,***,***,0.01,***,***,***,***,***,0.14,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0814,***,***,***,***,0.85,***,***,0.05,***,***,0.02,***,***,0.11,***,***,0.29,***,***,***,***,***,***,***,***,***,***,***,0.03,***,***,0.16,***,***,0.12,***,***,0.69,***,***,0.29,***,***,0.04,***,***,***,***,***,***,***,***,0.05,***,***,***,***,***,***,***,***,***,***,***,0.04,***,***,***,***,***
FABCO1T0816,***,***,***,***,0.40,***,***,0.02,***,***,0.12,***,***,0.10,***,***,0.35,***,***,0.49,***,***,***,***,***,***,***,***,0.08,***,***,0.28,***,***,0.27,***,***,0.34,***,***,0.15,***,***,***,***,***,***,***,***,***,***,***,0.12,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0817,***,***,***,***,0.80,***,***,0.07,***,***,0.12,***,***,0.28,***,***,0.91,***,***,0.46,***,***,***,***,***,***,***,***,0.05,***,***,0.07,***,***,0.23,***,***,0.13,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0818,***,***,***,***,0.89,***,***,0.04,***,***,0.09,***,***,0.39,***,***,0.68,***,***,0.55,***,***,***,***,***,***,***,***,0.14,***,***,0.24,***,***,0.33,***,***,0.40,***,***,0.72,***,***,***,***,***,***,***,***,***,***,***,0.32,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
