ProjectUnit = FABCO1T08
Summary Report = Surface Fuels
Report Attribute = 1000-hr Sound
Units = Tons per Acre

Macroplot,Pre00Year01-Attr,Pre00Year02-Attr,Pre00Year02-Diff,Pre00Year02-%Diff,Pre00-Attr,Pre00-Diff,Pre00-%Diff,Post01-Attr,Post01-Diff,Post01-%Diff,Re01Year01-Attr,Re01Year01-Diff,Re01Year01-%Diff,Re01Year02-Attr,Re01Year02-Diff,Re01Year02-%Diff,Re01Year05-Attr,Re01Year05-Diff,Re01Year05-%Diff,Re01Year09-Attr,Re01Year09-Diff,Re01Year09-%Diff,Re01Year10-Attr,Re01Year10-Diff,Re01Year10-%Diff,Re01Year15-Attr,Re01Year15-Diff,Re01Year15-%Diff,Post02-Attr,Post02-Diff,Post02-%Diff,Re02Year01-Attr,Re02Year01-Diff,Re02Year01-%Diff,Re02Year02-Attr,Re02Year02-Diff,Re02Year02-%Diff,Re02Year05-Attr,Re02Year05-Diff,Re02Year05-%Diff,Re02Year10-Attr,Re02Year10-Diff,Re02Year10-%Diff,Post03-Attr,Post03-Diff,Post03-%Diff,Re02Year5-Attr,Re02Year5-Diff,Re02Year5-%Diff,Re01Year1-Attr,Re01Year1-Diff,Re01Year1-%Diff,Re03Year1-Attr,Re03Year1-Diff,Re03Year1-%Diff,Re03Year01-Attr,Re03Year01-Diff,Re03Year01-%Diff,Re03Year2-Attr,Re03Year2-Diff,Re03Year2-%Diff,Re01year05-Attr,Re01year05-Diff,Re01year05-%Diff,Re03Year02-Attr,Re03Year02-Diff,Re03Year02-%Diff,01Year01-Attr,01Year01-Diff,01Year01-%Diff
FABCO1T0801,3.92,***,***,***,21.43,17.51,446.76,***,***,***,1.14,-2.78,-70.89,2.25,-1.67,-42.63,***,***,***,***,***,***,***,***,***,***,***,***,2.24,-1.68,-42.94,2.52,-1.40,-35.74,9.83,5.91,150.68,8.35,4.43,112.98,13.29,9.37,238.94,***,***,***,***,***,***,***,***,***,3.06,-0.86,-21.87,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0802,1.67,***,***,***,2.40,0.73,43.55,***,***,***,26.01,24.34,1456.09,17.89,16.22,970.18,***,***,***,***,***,***,***,***,***,***,***,***,10.46,8.79,525.61,0.00,-1.67,-100.00,0.00,-1.67,-100.00,3.68,2.01,120.33,16.12,14.44,864.10,***,***,***,***,***,***,***,***,***,6.35,4.68,279.98,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0803,14.35,***,***,***,28.64,14.29,99.56,***,***,***,9.05,-5.30,-36.93,3.65,-10.70,-74.58,***,***,***,***,***,***,***,***,***,***,***,***,0.00,-14.35,-100.00,0.00,-14.35,-100.00,***,***,***,1.04,-13.31,-92.77,10.03,-4.32,-30.11,***,***,***,***,***,***,***,***,***,0.59,-13.76,-95.87,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0804,5.22,23.85,18.64,357.33,22.59,17.37,333.08,14.69,9.47,181.58,35.35,30.14,577.86,24.77,19.55,374.86,24.10,18.88,362.05,***,***,***,***,***,***,***,***,***,***,***,***,3.68,-1.54,-29.49,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0805,15.41,7.63,-7.78,-50.50,6.42,-8.98,-58.31,0.00,-15.41,-100.00,0.00,-15.41,-100.00,0.00,-15.41,-100.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,3.17,-12.23,-79.40,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.55,-13.85,-89.91,***,***,***,***,***,***
FABCO1T0806,15.51,11.49,-4.02,-25.93,15.81,0.30,1.93,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,5.24,-10.27,-66.22
FABCO1T0807,3.48,8.53,5.05,145.25,18.57,15.09,433.77,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,4.04,0.56,16.03,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0815,5.08,8.75,3.67,72.33,12.90,7.83,154.16,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,6.93,1.85,36.40
FABCO1T0824,5.68,***,***,***,13.39,7.71,135.82,2.15,-3.53,-62.19,4.55,-1.13,-19.88,4.97,-0.71,-12.55,4.16,-1.51,-26.68,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0809,***,***,***,***,4.84,***,***,3.92,***,***,2.33,***,***,1.49,***,***,4.46,***,***,***,***,***,9.38,***,***,11.80,***,***,11.99,***,***,6.67,***,***,4.48,***,***,***,***,***,***,***,***,***,***,***,8.46,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
