ProjectUnit = FABCO1T08
Summary Report = Surface Fuels
Report Attribute = Litter
Units = Tons per Acre

Macroplot,Pre00Year01-Attr,Pre00Year02-Attr,Pre00Year02-Diff,Pre00Year02-%Diff,Pre00-Attr,Pre00-Diff,Pre00-%Diff,Post01-Attr,Post01-Diff,Post01-%Diff,Re01Year01-Attr,Re01Year01-Diff,Re01Year01-%Diff,Re01Year02-Attr,Re01Year02-Diff,Re01Year02-%Diff,Re01Year05-Attr,Re01Year05-Diff,Re01Year05-%Diff,Re01Year09-Attr,Re01Year09-Diff,Re01Year09-%Diff,Re01Year10-Attr,Re01Year10-Diff,Re01Year10-%Diff,Re01Year15-Attr,Re01Year15-Diff,Re01Year15-%Diff,Post02-Attr,Post02-Diff,Post02-%Diff,Re02Year01-Attr,Re02Year01-Diff,Re02Year01-%Diff,Re02Year02-Attr,Re02Year02-Diff,Re02Year02-%Diff,Re02Year05-Attr,Re02Year05-Diff,Re02Year05-%Diff,Re02Year10-Attr,Re02Year10-Diff,Re02Year10-%Diff,Post03-Attr,Post03-Diff,Post03-%Diff,Re02Year5-Attr,Re02Year5-Diff,Re02Year5-%Diff,Re01Year1-Attr,Re01Year1-Diff,Re01Year1-%Diff,Re03Year1-Attr,Re03Year1-Diff,Re03Year1-%Diff,Re03Year01-Attr,Re03Year01-Diff,Re03Year01-%Diff,Re03Year2-Attr,Re03Year2-Diff,Re03Year2-%Diff,Re01year05-Attr,Re01year05-Diff,Re01year05-%Diff,Re03Year02-Attr,Re03Year02-Diff,Re03Year02-%Diff,01Year01-Attr,01Year01-Diff,01Year01-%Diff
FABCO1T0812,***,***,***,***,18.09,***,***,0.11,***,***,1.16,***,***,3.93,***,***,9.55,***,***,***,***,***,9.20,***,***,4.14,***,***,0.01,***,***,2.92,***,***,3.41,***,***,***,***,***,***,***,***,***,***,***,2.86,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0813,***,***,***,***,18.51,***,***,4.47,***,***,4.32,***,***,6.94,***,***,14.16,***,***,***,***,***,***,***,***,***,***,***,4.17,***,***,3.92,***,***,2.30,***,***,3.82,***,***,4.04,***,***,0.60,***,***,***,***,***,***,***,***,0.61,***,***,***,***,***,0.91,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0814,***,***,***,***,18.90,***,***,6.43,***,***,4.57,***,***,6.38,***,***,4.78,***,***,***,***,***,***,***,***,***,***,***,2.12,***,***,3.93,***,***,2.75,***,***,3.84,***,***,2.10,***,***,0.67,***,***,***,***,***,***,***,***,0.66,***,***,***,***,***,***,***,***,***,***,***,1.26,***,***,***,***,***
FABCO1T0816,***,***,***,***,14.32,***,***,0.12,***,***,1.37,***,***,2.72,***,***,4.17,***,***,2.57,***,***,***,***,***,***,***,***,0.26,***,***,1.92,***,***,1.80,***,***,2.37,***,***,6.43,***,***,***,***,***,***,***,***,***,***,***,2.08,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0817,***,***,***,***,10.94,***,***,0.37,***,***,1.78,***,***,1.75,***,***,3.72,***,***,2.89,***,***,***,***,***,***,***,***,0.09,***,***,0.77,***,***,1.81,***,***,1.53,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0818,***,***,***,***,4.88,***,***,0.11,***,***,0.85,***,***,4.32,***,***,3.78,***,***,7.15,***,***,***,***,***,***,***,***,1.53,***,***,1.57,***,***,2.13,***,***,1.90,***,***,5.37,***,***,***,***,***,***,***,***,***,***,***,1.65,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0819,***,***,***,***,5.24,***,***,0.70,***,***,1.11,***,***,4.88,***,***,7.26,***,***,3.54,***,***,***,***,***,***,***,***,1.50,***,***,0.92,***,***,1.16,***,***,2.46,***,***,6.86,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.19,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0822,***,***,***,***,11.29,***,***,***,***,***,6.38,***,***,1.47,***,***,2.36,***,***,***,***,***,***,***,***,***,***,***,2.26,***,***,4.16,***,***,1.78,***,***,3.79,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0823,***,***,***,***,7.35,***,***,***,***,***,4.87,***,***,2.12,***,***,7.06,***,***,***,***,***,***,***,***,***,***,***,1.73,***,***,4.11,***,***,4.03,***,***,3.47,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0825,***,***,***,***,4.89,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0826,***,***,***,***,6.33,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0827,***,***,***,***,7.89,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mean,13.08,6.07,7.01,53.61,9.48,3.60,27.51,1.46,11.62,88.82,3.53,9.55,73.03,4.17,8.92,68.15,6.24,6.84,52.30,4.04,9.04,69.12,6.85,6.24,47.67,3.86,9.22,70.50,1.22,11.87,90.69,2.44,10.64,81.33,2.80,10.28,78.60,3.50,9.59,73.27,7.75,5.33,40.74,0.48,12.60,96.34,2.38,10.71,81.85,0.89,12.20,93.23,1.40,11.68,89.28,1.19,11.90,90.94,1.56,11.52,88.08,2.70,10.39,79.40,1.26,11.82,90.37,1.36,11.72,89.60
