ProjectUnit = FABCO1T08
Summary Report = Surface Fuels
Report Attribute = 1000-hr Rotten
Units = Tons per Acre

Macroplot,Pre00Year01-Attr,Pre00Year02-Attr,Pre00Year02-Diff,Pre00Year02-%Diff,Pre00-Attr,Pre00-Diff,Pre00-%Diff,Post01-Attr,Post01-Diff,Post01-%Diff,Re01Year01-Attr,Re01Year01-Diff,Re01Year01-%Diff,Re01Year02-Attr,Re01Year02-Diff,Re01Year02-%Diff,Re01Year05-Attr,Re01Year05-Diff,Re01Year05-%Diff,Re01Year09-Attr,Re01Year09-Diff,Re01Year09-%Diff,Re01Year10-Attr,Re01Year10-Diff,Re01Year10-%Diff,Re01Year15-Attr,Re01Year15-Diff,Re01Year15-%Diff,Post02-Attr,Post02-Diff,Post02-%Diff,Re02Year01-Attr,Re02Year01-Diff,Re02Year01-%Diff,Re02Year02-Attr,Re02Year02-Diff,Re02Year02-%Diff,Re02Year05-Attr,Re02Year05-Diff,Re02Year05-%Diff,Re02Year10-Attr,Re02Year10-Diff,Re02Year10-%Diff,Post03-Attr,Post03-Diff,Post03-%Diff,Re02Year5-Attr,Re02Year5-Diff,Re02Year5-%Diff,Re01Year1-Attr,Re01Year1-Diff,Re01Year1-%Diff,Re03Year1-Attr,Re03Year1-Diff,Re03Year1-%Diff,Re03Year01-Attr,Re03Year01-Diff,Re03Year01-%Diff,Re03Year2-Attr,Re03Year2-Diff,Re03Year2-%Diff,Re01year05-Attr,Re01year05-Diff,Re01year05-%Diff,Re03Year02-Attr,Re03Year02-Diff,Re03Year02-%Diff,01Year01-Attr,01Year01-Diff,01Year01-%Diff
FABCO1T0812,***,***,***,***,0.64,***,***,0.16,***,***,1.12,***,***,1.12,***,***,0.30,***,***,***,***,***,13.51,***,***,95.04,***,***,0.00,***,***,3.73,***,***,2.18,***,***,***,***,***,***,***,***,***,***,***,3.70,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0813,***,***,***,***,1.07,***,***,0.00,***,***,0.00,***,***,0.00,***,***,2.52,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,0.00,***,***,0.00,***,***,5.92,***,***,9.46,***,***,0.00,***,***,***,***,***,***,***,***,0.11,***,***,***,***,***,3.42,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0814,***,***,***,***,2.11,***,***,0.00,***,***,0.00,***,***,0.00,***,***,4.25,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,0.44,***,***,0.00,***,***,36.29,***,***,8.85,***,***,0.00,***,***,***,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,***,***,***
FABCO1T0816,***,***,***,***,8.31,***,***,1.75,***,***,1.75,***,***,0.00,***,***,0.35,***,***,17.12,***,***,***,***,***,***,***,***,4.88,***,***,2.73,***,***,0.24,***,***,2.12,***,***,2.53,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0817,***,***,***,***,7.36,***,***,8.67,***,***,5.94,***,***,4.42,***,***,0.00,***,***,5.09,***,***,***,***,***,***,***,***,2.29,***,***,3.25,***,***,1.89,***,***,5.40,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0818,***,***,***,***,0.00,***,***,0.86,***,***,0.00,***,***,0.86,***,***,0.63,***,***,2.65,***,***,***,***,***,***,***,***,0.48,***,***,5.62,***,***,5.50,***,***,1.21,***,***,4.69,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0819,***,***,***,***,6.77,***,***,5.66,***,***,5.66,***,***,2.51,***,***,0.00,***,***,15.43,***,***,***,***,***,***,***,***,0.00,***,***,0.72,***,***,6.60,***,***,3.17,***,***,5.28,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.98,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0822,***,***,***,***,15.86,***,***,***,***,***,6.78,***,***,2.52,***,***,29.66,***,***,***,***,***,***,***,***,***,***,***,5.78,***,***,0.97,***,***,4.62,***,***,3.88,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0823,***,***,***,***,8.76,***,***,***,***,***,16.31,***,***,10.73,***,***,15.39,***,***,***,***,***,***,***,***,***,***,***,2.76,***,***,2.40,***,***,3.31,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0825,***,***,***,***,5.14,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0826,***,***,***,***,40.84,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0827,***,***,***,***,19.92,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mean,11.08,13.05,-1.97,-17.78,10.00,1.08,9.79,5.40,5.68,51.26,10.31,0.77,6.96,7.65,3.43,30.97,7.70,3.38,30.52,10.07,1.01,9.09,6.32,4.76,42.92,43.61,-32.53,-293.61,2.05,9.03,81.48,2.42,8.66,78.12,2.59,8.49,76.65,6.60,4.48,40.40,8.09,2.99,26.98,0.00,11.08,100.00,1.31,9.78,88.22,0.00,11.08,100.00,0.01,11.07,99.87,0.98,10.10,91.13,1.71,9.37,84.59,0.00,11.08,100.00,0.00,11.08,100.00,0.00,11.08,100.00
