ProjectUnit = FABCO1T08
Summary Report = Surface Fuels
Report Attribute = 100-hr
Units = Tons per Acre

Macroplot,Pre00Year01-Attr,Pre00Year02-Attr,Pre00Year02-Diff,Pre00Year02-%Diff,Pre00-Attr,Pre00-Diff,Pre00-%Diff,Post01-Attr,Post01-Diff,Post01-%Diff,Re01Year01-Attr,Re01Year01-Diff,Re01Year01-%Diff,Re01Year02-Attr,Re01Year02-Diff,Re01Year02-%Diff,Re01Year05-Attr,Re01Year05-Diff,Re01Year05-%Diff,Re01Year09-Attr,Re01Year09-Diff,Re01Year09-%Diff,Re01Year10-Attr,Re01Year10-Diff,Re01Year10-%Diff,Re01Year15-Attr,Re01Year15-Diff,Re01Year15-%Diff,Post02-Attr,Post02-Diff,Post02-%Diff,Re02Year01-Attr,Re02Year01-Diff,Re02Year01-%Diff,Re02Year02-Attr,Re02Year02-Diff,Re02Year02-%Diff,Re02Year05-Attr,Re02Year05-Diff,Re02Year05-%Diff,Re02Year10-Attr,Re02Year10-Diff,Re02Year10-%Diff,Post03-Attr,Post03-Diff,Post03-%Diff,Re02Year5-Attr,Re02Year5-Diff,Re02Year5-%Diff,Re01Year1-Attr,Re01Year1-Diff,Re01Year1-%Diff,Re03Year1-Attr,Re03Year1-Diff,Re03Year1-%Diff,Re03Year01-Attr,Re03Year01-Diff,Re03Year01-%Diff,Re03Year2-Attr,Re03Year2-Diff,Re03Year2-%Diff,Re01year05-Attr,Re01year05-Diff,Re01year05-%Diff,Re03Year02-Attr,Re03Year02-Diff,Re03Year02-%Diff,01Year01-Attr,01Year01-Diff,01Year01-%Diff
FABCO1T0801,0.30,***,***,***,1.51,1.21,400.00,***,***,***,1.51,1.21,400.00,1.51,1.21,400.00,***,***,***,***,***,***,***,***,***,***,***,***,0.00,-0.30,-100.00,0.30,0.00,0.00,0.30,0.00,0.00,1.82,1.51,500.00,6.36,6.05,2000.00,***,***,***,***,***,***,***,***,***,1.51,1.21,400.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0802,0.00,***,***,***,0.91,0.91,***,***,***,***,7.32,7.32,***,5.18,5.18,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,0.00,0.00,0.61,0.61,***,0.00,0.00,0.00,1.22,1.22,***,3.97,3.97,***,***,***,***,***,***,***,***,***,***,0.31,0.31,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0803,0.92,***,***,***,3.36,2.44,266.38,***,***,***,4.58,3.67,399.59,2.76,1.84,200.27,***,***,***,***,***,***,***,***,***,***,***,***,0.00,-0.92,-100.00,0.31,-0.61,-66.67,0.61,-0.31,-33.33,1.22,0.31,33.47,8.24,7.32,797.68,***,***,***,***,***,***,***,***,***,0.00,-0.92,-100.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0804,2.78,4.28,1.50,53.82,4.00,1.21,43.56,1.55,-1.23,-44.26,2.78,0.00,0.00,1.55,-1.23,-44.26,1.23,-1.55,-55.82,***,***,***,***,***,***,***,***,***,***,***,***,1.24,-1.54,-55.50,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0805,1.21,0.91,-0.30,-25.00,2.12,0.91,75.00,0.30,-0.91,-75.00,0.00,-1.21,-100.00,0.00,-1.21,-100.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,-1.21,-100.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,3.33,2.12,175.00,***,***,***,***,***,***
FABCO1T0806,5.21,4.60,-0.61,-11.72,7.03,1.82,34.91,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.30,-4.91,-94.19
FABCO1T0807,5.90,4.62,-1.28,-21.65,5.86,-0.04,-0.63,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,-5.90,-100.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0815,1.82,3.64,1.82,100.20,5.77,3.95,216.81,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.61,-1.21,-66.64
FABCO1T0824,2.16,***,***,***,3.12,0.96,44.58,0.00,-2.16,-100.00,0.00,-2.16,-100.00,0.00,-2.16,-100.00,0.32,-1.84,-85.37,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0809,***,***,***,***,5.01,***,***,1.90,***,***,1.57,***,***,2.22,***,***,2.20,***,***,***,***,***,0.93,***,***,3.03,***,***,0.30,***,***,1.21,***,***,2.42,***,***,***,***,***,***,***,***,***,***,***,2.82,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
