ProjectUnit = FPIPO1D09
Summary Report = Surface Fuels
Report Attribute = 100-hr
Units = Tons per Acre

Macroplot,00Pro1-Attr,00Pro1_alt-Attr,00Pro1_alt-Diff,00Pro1_alt-%Diff,00Pro2-Attr,00Pro2-Diff,00Pro2-%Diff,00Pro2_alt-Attr,00Pro2_alt-Diff,00Pro2_alt-%Diff,00Pre-Attr,00Pre-Diff,00Pre-%Diff,00Pre_alt-Attr,00Pre_alt-Diff,00Pre_alt-%Diff,01Post-Attr,01Post-Diff,01Post-%Diff,01Post_alt-Attr,01Post_alt-Diff,01Post_alt-%Diff,01Yr01-Attr,01Yr01-Diff,01Yr01-%Diff,01Yr01_alt-Attr,01Yr01_alt-Diff,01Yr01_alt-%Diff,01Yr02-Attr,01Yr02-Diff,01Yr02-%Diff,01Yr02_alt-Attr,01Yr02_alt-Diff,01Yr02_alt-%Diff,01Yr10-Attr,01Yr10-Diff,01Yr10-%Diff
B:FPIPO1D09:01,2.72,***,***,***,3.93,1.21,44.44,3.93,1.21,44.44,3.33,0.61,22.22,3.33,0.61,22.22,2.12,-0.61,-22.22,2.12,-0.61,-22.22,1.21,-1.51,-55.56,1.21,-1.51,-55.56,0.91,-1.82,-66.67,***,***,***,3.33,0.61,22.22
B:FPIPO1D09:02,0.91,***,***,***,2.12,1.21,133.34,2.12,1.22,134.01,2.42,1.51,166.70,2.43,1.52,167.24,1.82,0.91,100.02,1.82,0.91,100.56,3.03,2.12,233.36,3.03,2.13,234.17,3.03,2.12,233.35,0.00,-0.91,-100.00,1.51,0.60,66.66
B:FPIPO1D09:03,0.91,***,***,***,2.12,1.21,133.15,2.12,1.21,133.15,2.43,1.52,166.57,2.43,1.52,166.57,1.82,0.91,99.81,1.82,0.91,99.81,0.91,0.00,-0.19,0.91,0.00,-0.19,1.21,0.30,33.24,***,***,***,0.91,0.00,-0.19
B:FPIPO1D09:04,0.61,***,***,***,0.61,0.00,0.00,0.61,0.00,0.00,0.00,-0.61,-100.00,0.00,-0.61,-100.00,0.30,-0.30,-50.00,***,***,***,0.61,0.00,0.00,0.61,0.00,0.00,0.00,-0.61,-100.00,0.00,-0.61,-100.00,0.30,-0.30,-49.93
B:FPIPO1D09:05,0.00,0.00,0.00,0.00,***,***,***,***,***,***,0.30,0.30,***,0.30,0.30,***,0.30,0.30,***,0.30,0.30,***,0.61,0.61,***,0.61,0.61,***,0.30,0.30,***,***,***,***,0.30,0.30,***
B:FPIPO1D09:06,0.30,0.30,0.00,0.00,***,***,***,***,***,***,2.42,2.12,700.14,2.42,2.12,700.14,0.61,0.30,100.00,0.61,0.30,100.00,1.21,0.91,300.00,1.21,0.91,300.00,0.91,0.61,200.00,***,***,***,6.05,5.75,1900.08
B:FPIPO1D09:07,0.91,0.91,0.00,0.01,***,***,***,***,***,***,3.93,3.03,333.40,3.93,3.03,333.42,1.51,0.61,66.74,1.51,0.61,66.74,1.51,0.61,66.74,1.51,0.61,66.74,5.15,4.24,467.03,***,***,***,2.12,1.21,133.42
B:FPIPO1D09:08,0.91,***,***,***,1.82,0.91,100.03,1.82,0.91,100.03,0.91,0.00,0.00,0.91,0.00,0.00,2.12,1.21,133.27,2.12,1.21,133.27,2.12,1.21,133.26,2.12,1.21,133.26,1.82,0.91,99.97,0.00,-0.91,-100.00,1.51,0.61,66.66
B:FPIPO1D09:09,4.24,***,***,***,2.42,-1.82,-42.84,2.42,-1.82,-42.84,3.94,-0.30,-7.15,3.94,-0.30,-7.15,0.91,-3.33,-78.57,0.91,-3.33,-78.57,2.12,-2.12,-50.01,2.12,-2.12,-50.01,1.21,-3.03,-71.43,0.00,-4.24,-100.00,1.51,-2.73,-64.28
B:FPIPO1D09:11,1.51,1.51,0.00,0.00,***,***,***,***,***,***,0.91,-0.61,-39.99,0.91,-0.61,-39.99,1.82,0.30,19.98,1.82,0.30,19.98,1.51,0.00,-0.01,1.51,0.00,-0.02,1.82,0.30,19.99,***,***,***,1.21,-0.30,-20.01
B:FPIPO1D09:10,***,***,***,***,***,***,***,***,***,***,4.84,***,***,***,***,***,2.42,***,***,***,***,***,1.51,***,***,1.51,***,***,2.72,***,***,0.00,***,***,2.42,***,***
B:FPIPO1D09:12,***,***,***,***,***,***,***,***,***,***,3.33,***,***,3.33,***,***,1.82,***,***,1.82,***,***,3.33,***,***,3.33,***,***,3.63,***,***,***,***,***,1.21,***,***
B:FPIPO1D09:13,***,***,***,***,***,***,***,***,***,***,1.52,***,***,1.52,***,***,1.52,***,***,***,***,***,1.52,***,***,1.52,***,***,1.21,***,***,***,***,***,4.86,***,***
B:FPIPO1D09:14,***,***,***,***,***,***,***,***,***,***,2.42,***,***,***,***,***,0.91,***,***,***,***,***,1.82,***,***,1.82,***,***,1.82,***,***,0.00,***,***,3.03,***,***
Mean,1.30,0.68,0.62,47.70,2.17,-0.87,-66.70,2.17,-0.87,-66.77,2.34,-1.03,-79.40,2.12,-0.82,-62.85,1.43,-0.13,-9.65,1.48,-0.18,-13.98,1.64,-0.34,-26.24,1.64,-0.34,-26.28,1.84,-0.54,-41.19,0.00,1.30,100.00,2.16,-0.86,-66.14
