ProjectUnit = FPIPO1D09
Summary Report = Surface Fuels
Report Attribute = 10-hr
Units = Tons per Acre

Macroplot,00Pro1-Attr,00Pro1_alt-Attr,00Pro1_alt-Diff,00Pro1_alt-%Diff,00Pro2-Attr,00Pro2-Diff,00Pro2-%Diff,00Pro2_alt-Attr,00Pro2_alt-Diff,00Pro2_alt-%Diff,00Pre-Attr,00Pre-Diff,00Pre-%Diff,00Pre_alt-Attr,00Pre_alt-Diff,00Pre_alt-%Diff,01Post-Attr,01Post-Diff,01Post-%Diff,01Post_alt-Attr,01Post_alt-Diff,01Post_alt-%Diff,01Yr01-Attr,01Yr01-Diff,01Yr01-%Diff,01Yr01_alt-Attr,01Yr01_alt-Diff,01Yr01_alt-%Diff,01Yr02-Attr,01Yr02-Diff,01Yr02-%Diff,01Yr02_alt-Attr,01Yr02_alt-Diff,01Yr02_alt-%Diff,01Yr10-Attr,01Yr10-Diff,01Yr10-%Diff
B:FPIPO1D09:01,3.27,***,***,***,0.91,-2.36,-72.09,0.91,-2.36,-72.09,1.60,-1.67,-51.16,1.60,-1.67,-51.16,0.68,-2.58,-79.07,0.68,-2.58,-79.07,1.06,-2.20,-67.44,1.06,-2.20,-67.44,0.91,-2.36,-72.09,***,***,***,2.43,-0.84,-25.58
B:FPIPO1D09:02,1.90,***,***,***,1.29,-0.61,-32.00,1.29,-0.61,-31.95,1.90,0.00,0.01,1.90,0.00,0.16,1.83,-0.08,-3.99,1.83,-0.07,-3.89,1.22,-0.68,-36.00,1.22,-0.68,-35.88,3.57,1.67,87.96,0.00,-1.90,-100.00,0.68,-1.22,-64.01
B:FPIPO1D09:03,0.84,***,***,***,0.99,0.15,18.14,0.99,0.15,18.14,1.37,0.53,63.64,1.37,0.53,63.64,1.22,0.38,45.48,1.22,0.38,45.48,1.22,0.38,45.43,1.22,0.38,45.43,0.53,-0.31,-36.41,***,***,***,0.84,0.00,0.04
B:FPIPO1D09:04,1.60,***,***,***,1.60,0.00,0.00,1.60,0.00,0.00,1.37,-0.23,-14.32,1.37,-0.23,-14.32,0.91,-0.69,-42.88,***,***,***,1.07,-0.53,-33.36,1.07,-0.53,-33.36,0.91,-0.69,-42.88,0.00,-1.60,-100.00,1.29,-0.31,-19.08
B:FPIPO1D09:05,1.83,1.83,0.00,0.00,***,***,***,***,***,***,1.14,-0.69,-37.51,1.14,-0.69,-37.51,1.83,0.00,-0.02,1.83,0.00,-0.02,1.14,-0.69,-37.51,1.14,-0.69,-37.51,0.46,-1.37,-75.00,***,***,***,0.84,-0.99,-54.16
B:FPIPO1D09:06,2.74,2.74,0.00,0.00,***,***,***,***,***,***,1.98,-0.76,-27.78,1.98,-0.76,-27.78,1.75,-0.99,-36.11,1.75,-0.99,-36.11,1.29,-1.44,-52.78,1.29,-1.44,-52.78,1.06,-1.67,-61.11,***,***,***,5.78,3.04,111.10
B:FPIPO1D09:07,1.37,1.37,0.00,0.00,***,***,***,***,***,***,3.27,1.90,138.84,3.27,1.90,138.84,1.75,0.38,27.77,1.75,0.38,27.77,1.75,0.38,27.75,1.75,0.38,27.76,3.80,2.44,177.80,***,***,***,1.07,-0.30,-22.24
B:FPIPO1D09:08,2.06,***,***,***,1.45,-0.61,-29.63,1.45,-0.61,-29.63,1.67,-0.38,-18.53,1.67,-0.38,-18.53,0.99,-1.07,-51.85,0.99,-1.07,-51.85,1.45,-0.61,-29.63,1.45,-0.61,-29.63,1.14,-0.91,-44.46,0.00,-2.06,-100.00,1.07,-0.99,-48.16
B:FPIPO1D09:09,2.51,***,***,***,2.36,-0.15,-6.06,2.36,-0.15,-6.06,1.90,-0.61,-24.25,1.90,-0.61,-24.25,1.67,-0.84,-33.34,1.67,-0.84,-33.34,1.60,-0.91,-36.37,1.60,-0.91,-36.37,3.35,0.84,33.34,0.00,-2.51,-100.00,0.84,-1.67,-66.66
B:FPIPO1D09:11,0.30,0.30,0.00,0.00,***,***,***,***,***,***,0.23,-0.08,-25.01,0.23,-0.08,-25.02,0.84,0.53,174.97,0.84,0.53,174.96,0.91,0.61,199.94,0.91,0.61,199.93,0.68,0.38,124.96,***,***,***,0.23,-0.08,-25.00
B:FPIPO1D09:10,***,***,***,***,***,***,***,***,***,***,1.60,***,***,***,***,***,1.60,***,***,***,***,***,0.91,***,***,0.91,***,***,2.36,***,***,0.00,***,***,1.44,***,***
B:FPIPO1D09:12,***,***,***,***,***,***,***,***,***,***,1.06,***,***,1.06,***,***,1.82,***,***,1.82,***,***,1.52,***,***,1.52,***,***,1.90,***,***,***,***,***,0.46,***,***
B:FPIPO1D09:13,***,***,***,***,***,***,***,***,***,***,1.14,***,***,1.14,***,***,0.84,***,***,***,***,***,0.53,***,***,0.53,***,***,0.38,***,***,***,***,***,3.20,***,***
B:FPIPO1D09:14,***,***,***,***,***,***,***,***,***,***,1.83,***,***,***,***,***,1.14,***,***,***,***,***,0.38,***,***,0.38,***,***,1.14,***,***,0.00,***,***,1.60,***,***
Mean,1.84,1.56,0.28,15.30,1.43,0.41,22.15,1.43,0.41,22.14,1.58,0.27,14.41,1.55,0.29,15.61,1.35,0.49,26.80,1.44,0.40,21.89,1.15,0.69,37.72,1.15,0.69,37.72,1.59,0.25,13.83,0.00,1.84,100.00,1.55,0.29,15.59
