ProjectUnit = Ponderosa Pine
Summary Report = Surface Fuels
Report Attribute = 100-hr
Units = Tons per Acre

Macroplot,00PR01-Attr,00Pre-Attr,00Pre-Diff,00Pre-%Diff,01Post-Attr,01Post-Diff,01Post-%Diff,01Year01-Attr,01Year01-Diff,01Year01-%Diff,01Year02-Attr,01Year02-Diff,01Year02-%Diff,01Year05-Attr,01Year05-Diff,01Year05-%Diff,01Year07-Attr,01Year07-Diff,01Year07-%Diff,01Year08-Attr,01Year08-Diff,01Year08-%Diff,01Year10-Attr,01Year10-Diff,01Year10-%Diff,01Year15-Attr,01Year15-Diff,01Year15-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Year01-Attr,02Year01-Diff,02Year01-%Diff,02Year02-Attr,02Year02-Diff,02Year02-%Diff,02Year05-Attr,02Year05-Diff,02Year05-%Diff,02Year08-Attr,02Year08-Diff,02Year08-%Diff,02Year10-Attr,02Year10-Diff,02Year10-%Diff,03Post-Attr,03Post-Diff,03Post-%Diff,03Year01-Attr,03Year01-Diff,03Year01-%Diff,03Year02-Attr,03Year02-Diff,03Year02-%Diff,03Year05-Attr,03Year05-Diff,03Year05-%Diff,03Year10-Attr,03Year10-Diff,03Year10-%Diff,01Year20-Attr,01Year20-Diff,01Year20-%Diff
PIPO-05,1.50,0.60,-0.90,-59.99,1.20,-0.30,-19.77,0.60,-0.90,-59.89,1.20,-0.30,-19.77,1.20,-0.29,-19.61,***,***,***,2.42,0.92,61.57,***,***,***,***,***,***,1.21,-0.29,-19.44,2.40,0.91,60.55,2.11,0.61,40.78,1.50,0.00,-0.04,***,***,***,1.50,0.00,0.33,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-01,***,0.31,***,***,0.31,***,***,0.31,***,***,0.62,***,***,0.31,***,***,***,***,***,2.13,***,***,0.92,***,***,1.22,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.30,***,***
PIPO-02,***,0.61,***,***,0.61,***,***,0.61,***,***,2.13,***,***,1.53,***,***,***,***,***,0.91,***,***,0.61,***,***,***,***,***,0.91,***,***,0.61,***,***,0.91,***,***,1.51,***,***,***,***,***,0.91,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-03,***,0.00,***,***,0.64,***,***,1.27,***,***,0.32,***,***,0.00,***,***,0.00,***,***,***,***,***,0.00,***,***,***,***,***,0.32,***,***,1.29,***,***,0.00,***,***,0.00,***,***,***,***,***,0.63,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-04,***,0.60,***,***,0.60,***,***,0.00,***,***,0.90,***,***,1.20,***,***,***,***,***,3.29,***,***,0.30,***,***,***,***,***,0.00,***,***,0.90,***,***,0.00,***,***,0.00,***,***,***,***,***,0.30,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-06,***,1.20,***,***,1.21,***,***,1.51,***,***,0.90,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.82,***,***,1.20,***,***,1.20,***,***,1.20,***,***,2.72,***,***,***,***,***,2.10,***,***,2.41,***,***,1.20,***,***,2.10,***,***,0.90,***,***,***,***,***
PIPO-07,***,4.51,***,***,1.80,***,***,1.80,***,***,1.20,***,***,2.70,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,0.00,***,***,0.00,***,***,0.30,***,***,***,***,***,***,***,***,0.00,***,***,1.81,***,***,0.91,***,***,0.00,***,***,***,***,***,***,***,***
PIPO-08,***,1.20,***,***,1.51,***,***,1.51,***,***,1.51,***,***,3.30,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.31,***,***,0.60,***,***,0.60,***,***,0.90,***,***,***,***,***,***,***,***,0.30,***,***,1.20,***,***,0.90,***,***,0.31,***,***,***,***,***,***,***,***
PIPO-10,***,1.79,***,***,0.30,***,***,0.30,***,***,0.60,***,***,1.19,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.49,***,***,0.30,***,***,1.49,***,***,1.19,***,***,***,***,***,***,***,***,1.19,***,***,1.19,***,***,0.60,***,***,0.30,***,***,***,***,***,***,***,***
PIPO-12,***,1.49,***,***,1.49,***,***,0.90,***,***,0.90,***,***,0.30,***,***,***,***,***,***,***,***,1.49,***,***,0.90,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.90,***,***
PIPO-13,***,0.00,***,***,0.00,***,***,0.00,***,***,0.00,***,***,0.00,***,***,***,***,***,***,***,***,0.00,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.30,***,***
PIPO-14,***,0.00,***,***,0.00,***,***,0.00,***,***,0.00,***,***,0.00,***,***,***,***,***,***,***,***,0.30,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-17,***,1.52,***,***,1.83,***,***,1.83,***,***,2.44,***,***,1.83,***,***,***,***,***,0.92,***,***,4.89,***,***,***,***,***,0.30,***,***,0.91,***,***,3.35,***,***,3.31,***,***,***,***,***,3.63,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-26,***,1.20,***,***,0.91,***,***,0.92,***,***,1.52,***,***,3.02,***,***,***,***,***,1.82,***,***,***,***,***,***,***,***,2.42,***,***,2.11,***,***,2.10,***,***,1.80,***,***,***,***,***,2.11,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-47,***,0.60,***,***,0.30,***,***,0.00,***,***,0.60,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,0.00,***,***,0.00,***,***,0.00,***,***,***,***,***,0.30,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-48,***,0.30,***,***,0.00,***,***,0.00,***,***,0.60,***,***,1.20,***,***,***,***,***,***,***,***,1.50,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-49,***,0.60,***,***,0.00,***,***,0.00,***,***,0.00,***,***,0.00,***,***,***,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-62,***,1.80,***,***,3.34,***,***,1.21,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.52,***,***,1.82,***,***,***,***,***,***,***,***,***,***,***,4.87,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
