ProjectUnit = Ponderosa Pine
Summary Report = Surface Fuels
Report Attribute = 1-hr
Units = Tons per Acre

Macroplot,00PR01-Attr,00Pre-Attr,00Pre-Diff,00Pre-%Diff,01Post-Attr,01Post-Diff,01Post-%Diff,01Year01-Attr,01Year01-Diff,01Year01-%Diff,01Year02-Attr,01Year02-Diff,01Year02-%Diff,01Year05-Attr,01Year05-Diff,01Year05-%Diff,01Year07-Attr,01Year07-Diff,01Year07-%Diff,01Year08-Attr,01Year08-Diff,01Year08-%Diff,01Year10-Attr,01Year10-Diff,01Year10-%Diff,01Year15-Attr,01Year15-Diff,01Year15-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Year01-Attr,02Year01-Diff,02Year01-%Diff,02Year02-Attr,02Year02-Diff,02Year02-%Diff,02Year05-Attr,02Year05-Diff,02Year05-%Diff,02Year08-Attr,02Year08-Diff,02Year08-%Diff,02Year10-Attr,02Year10-Diff,02Year10-%Diff,03Post-Attr,03Post-Diff,03Post-%Diff,03Year01-Attr,03Year01-Diff,03Year01-%Diff,03Year02-Attr,03Year02-Diff,03Year02-%Diff,03Year05-Attr,03Year05-Diff,03Year05-%Diff,03Year10-Attr,03Year10-Diff,03Year10-%Diff,01Year20-Attr,01Year20-Diff,01Year20-%Diff
PIPO-05,0.32,0.39,0.07,20.37,0.25,-0.07,-22.12,0.36,0.04,11.39,0.14,-0.18,-55.46,0.13,-0.20,-61.07,***,***,***,0.22,-0.10,-30.64,***,***,***,***,***,***,0.13,-0.20,-61.09,0.10,-0.22,-69.32,0.36,0.04,11.19,0.32,0.00,0.53,***,***,***,0.33,0.01,2.70,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-01,***,0.10,***,***,0.09,***,***,0.14,***,***,0.18,***,***,0.04,***,***,***,***,***,0.62,***,***,0.22,***,***,0.19,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.27,***,***
PIPO-02,***,0.13,***,***,0.15,***,***,0.20,***,***,0.12,***,***,0.25,***,***,***,***,***,0.15,***,***,0.32,***,***,***,***,***,0.10,***,***,0.16,***,***,0.05,***,***,0.34,***,***,***,***,***,0.16,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-03,***,0.08,***,***,0.04,***,***,0.12,***,***,0.02,***,***,0.12,***,***,0.09,***,***,***,***,***,0.21,***,***,***,***,***,0.08,***,***,0.05,***,***,0.15,***,***,0.51,***,***,***,***,***,0.18,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-04,***,0.15,***,***,0.13,***,***,0.13,***,***,0.00,***,***,0.03,***,***,***,***,***,0.07,***,***,0.03,***,***,***,***,***,0.07,***,***,0.07,***,***,0.07,***,***,0.19,***,***,***,***,***,0.10,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-06,***,0.22,***,***,0.07,***,***,0.11,***,***,0.12,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.20,***,***,0.36,***,***,0.21,***,***,0.14,***,***,0.13,***,***,***,***,***,0.17,***,***,0.03,***,***,0.17,***,***,0.30,***,***,0.29,***,***,***,***,***
PIPO-07,***,0.39,***,***,0.20,***,***,0.31,***,***,0.40,***,***,0.12,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.22,***,***,0.30,***,***,0.19,***,***,0.06,***,***,***,***,***,***,***,***,0.08,***,***,0.14,***,***,0.41,***,***,0.08,***,***,***,***,***,***,***,***
PIPO-08,***,0.17,***,***,0.35,***,***,0.35,***,***,0.36,***,***,0.23,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.13,***,***,0.18,***,***,0.14,***,***,0.25,***,***,***,***,***,***,***,***,0.08,***,***,0.13,***,***,0.17,***,***,0.00,***,***,***,***,***,***,***,***
PIPO-10,***,0.41,***,***,0.20,***,***,0.20,***,***,0.12,***,***,0.19,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.09,***,***,0.04,***,***,0.07,***,***,0.03,***,***,***,***,***,***,***,***,0.08,***,***,0.14,***,***,0.12,***,***,0.07,***,***,***,***,***,***,***,***
PIPO-12,***,0.22,***,***,0.21,***,***,0.17,***,***,0.35,***,***,0.12,***,***,***,***,***,***,***,***,0.22,***,***,0.61,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.09,***,***
