ProjectUnit = PIPO1T02
Summary Report = Surface Fuels
Report Attribute = 1-hr
Units = Tons per Acre

Macroplot,01PRE-Attr
B_FPIPO1T02_01,0.00
B_FPIPO1T02_02,0.00
B_FPIPO1T02_03,0.00
B_FPIPO1T02_04,0.02
B_FPIPO1T02_05,0.06
B_FPIPO1T02_06,0.46
B_FPIPO1T02_07,0.03
B_FPIPO1T02_08,0.02
B_FPIPO1T02_09,0.00
B_FPIPO1T02_10,0.00
Mean,0.06
