ProjectUnit = PIPO1T02
Summary Report = Surface Fuels
Report Attribute = Duff
Units = Tons per Acre

Macroplot,01PRE-Attr
B_FPIPO1T02_01,4.99
B_FPIPO1T02_02,0.00
B_FPIPO1T02_03,0.00
B_FPIPO1T02_04,4.79
B_FPIPO1T02_05,12.08
B_FPIPO1T02_06,2.00
B_FPIPO1T02_07,4.49
B_FPIPO1T02_08,0.00
B_FPIPO1T02_09,2.40
B_FPIPO1T02_10,0.00
Mean,3.07
