ProjectUnit = PIPO1T02
Summary Report = Surface Fuels
Report Attribute = Duff depth
Units = Inches

Macroplot,01PRE-Attr
B_FPIPO1T02_01,0.50
B_FPIPO1T02_02,0.00
B_FPIPO1T02_03,0.00
B_FPIPO1T02_04,0.48
B_FPIPO1T02_05,1.21
B_FPIPO1T02_06,0.20
B_FPIPO1T02_07,0.45
B_FPIPO1T02_08,0.00
B_FPIPO1T02_09,0.24
B_FPIPO1T02_10,0.00
Mean,0.31
