ProjectUnit = PIPO1T02
Summary Report = Surface Fuels
Report Attribute = 1000-hr Sound
Units = Tons per Acre

Macroplot,01PRE-Attr
B_FPIPO1T02_01,1.14
B_FPIPO1T02_02,0.00
B_FPIPO1T02_03,0.00
B_FPIPO1T02_04,0.00
B_FPIPO1T02_05,39.35
B_FPIPO1T02_06,22.91
B_FPIPO1T02_07,0.84
B_FPIPO1T02_08,4.94
B_FPIPO1T02_09,45.57
B_FPIPO1T02_10,0.00
Mean,11.48
