ProjectUnit = PIPO1T02
Summary Report = Surface Fuels
Report Attribute = Litter depth
Units = Inches

Macroplot,01PRE-Attr
B_FPIPO1T02_01,0.39
B_FPIPO1T02_02,0.29
B_FPIPO1T02_03,0.75
B_FPIPO1T02_04,2.04
B_FPIPO1T02_05,1.83
B_FPIPO1T02_06,1.67
B_FPIPO1T02_07,0.91
B_FPIPO1T02_08,1.07
B_FPIPO1T02_09,1.08
B_FPIPO1T02_10,0.63
Mean,1.07
