ProjectUnit = PIPO1T02
Summary Report = Surface Fuels
Report Attribute = Total
Units = Tons per Acre

Macroplot,01PRE-Attr
B_FPIPO1T02_01,8.08
B_FPIPO1T02_02,1.45
B_FPIPO1T02_03,4.38
B_FPIPO1T02_04,15.61
B_FPIPO1T02_05,66.70
B_FPIPO1T02_06,34.31
B_FPIPO1T02_07,10.82
B_FPIPO1T02_08,11.51
B_FPIPO1T02_09,54.58
B_FPIPO1T02_10,3.14
Mean,21.06
