ProjectUnit = FMCMM1T09
Summary Report = Surface Fuels
Report Attribute = Duff depth
Units = Inches

Macroplot,Pre00Year01-Attr,Pre00-Attr,Pre00-Diff,Pre00-%Diff,Post01-Attr,Post01-Diff,Post01-%Diff,Re01Year01-Attr,Re01Year01-Diff,Re01Year01-%Diff,Re01Year02-Attr,Re01Year02-Diff,Re01Year02-%Diff
FMCMM1T0907,1.22,1.43,0.21,17.04,0.27,-0.95,-78.03,0.29,-0.93,-76.18,0.21,-1.01,-83.16
FMCMM1T0908,0.90,1.50,0.60,66.57,0.41,-0.49,-54.04,0.52,-0.38,-41.78,0.51,-0.39,-43.18
Mean,1.06,1.46,-0.40,-38.06,0.34,0.72,67.85,0.41,0.65,61.58,0.36,0.70,66.19
