ProjectUnit = Quaking Aspen
Summary Report = Surface Fuels
Report Attribute = 100-hr
Units = Tons per Acre

Macroplot,00Pre-Attr,01Post-Attr,01Post-Diff,01Post-%Diff,01Year01-Attr,01Year01-Diff,01Year01-%Diff,01Year02-Attr,01Year02-Diff,01Year02-%Diff,01Year05-Attr,01Year05-Diff,01Year05-%Diff,01Year10-Attr,01Year10-Diff,01Year10-%Diff,01Year15-Attr,01Year15-Diff,01Year15-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Year01-Attr,02Year01-Diff,02Year01-%Diff,02Year02-Attr,02Year02-Diff,02Year02-%Diff,02Year05-Attr,02Year05-Diff,02Year05-%Diff,00PR01-Attr,00PR01-Diff,00PR01-%Diff,00PR02-Attr,00PR02-Diff,00PR02-%Diff,00PR03-Attr,00PR03-Diff,00PR03-%Diff,00PR04-Attr,00PR04-Diff,00PR04-%Diff,00PR05-Attr,00PR05-Diff,00PR05-%Diff,02Year10-Attr,02Year10-Diff,02Year10-%Diff
POTR-37,2.21,2.57,0.37,16.67,1.47,-0.74,-33.33,3.68,1.47,66.67,3.68,1.47,66.66,2.21,0.00,-0.01,2.57,0.37,16.68,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
POTR-38,2.94,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2.94,0.00,0.01,1.84,-1.10,-37.50,1.84,-1.10,-37.50,0.37,-2.58,-87.50,0.37,-2.58,-87.50,***,***,***
POTR-39,1.47,2.21,0.74,50.17,3.31,1.84,125.35,1.10,-0.37,-24.99,0.37,-1.10,-75.00,0.73,-0.74,-50.01,1.84,0.37,25.16,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
POTR-40,4.04,3.68,-0.37,-9.10,2.94,-1.10,-27.28,2.94,-1.10,-27.27,3.31,-0.74,-18.18,1.10,-2.94,-72.73,2.21,-1.84,-45.46,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
POTR-41,1.47,2.94,1.47,100.01,2.94,1.47,100.05,1.47,0.00,0.01,4.78,3.31,225.04,2.21,0.74,50.03,4.41,2.94,200.04,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
POTR-42,4.78,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2.58,-2.21,-46.13,2.94,-1.84,-38.51,2.94,-1.84,-38.46,***,***,***,***,***,***,***,***,***
POTR-43,1.10,1.47,0.37,33.34,1.10,0.00,0.00,1.10,0.00,0.00,1.10,0.00,0.00,1.47,0.37,33.33,2.57,1.47,133.32,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
POTR-44,2.21,1.47,-0.74,-33.33,1.84,-0.37,-16.64,1.84,-0.37,-16.65,2.94,0.74,33.35,1.84,-0.37,-16.65,1.84,-0.37,-16.64,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
POTR-46,1.49,2.24,0.75,50.53,1.11,-0.38,-25.23,1.12,-0.37,-24.75,3.70,2.22,148.74,***,***,***,***,***,***,2.96,1.47,98.80,1.47,-0.02,-1.01,1.48,-0.01,-0.86,1.49,0.00,0.03,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.74,-0.75,-50.53
Mean,2.41,2.37,0.04,1.84,2.10,0.31,12.85,1.89,0.52,21.54,2.84,-0.43,-17.69,1.59,0.82,33.99,2.57,-0.16,-6.65,2.96,-0.55,-22.71,1.47,0.94,38.90,1.48,0.94,38.81,1.49,0.92,38.26,2.76,-0.35,-14.43,2.39,0.02,0.90,2.39,0.02,0.86,0.37,2.04,84.74,0.37,2.04,84.74,0.74,1.68,69.46
