ProjectUnit = Quaking Aspen
Summary Report = Surface Fuels
Report Attribute = 10-hr
Units = Tons per Acre

Macroplot,00Pre-Attr,01Post-Attr,01Post-Diff,01Post-%Diff,01Year01-Attr,01Year01-Diff,01Year01-%Diff,01Year02-Attr,01Year02-Diff,01Year02-%Diff,01Year05-Attr,01Year05-Diff,01Year05-%Diff,01Year10-Attr,01Year10-Diff,01Year10-%Diff,01Year15-Attr,01Year15-Diff,01Year15-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Year01-Attr,02Year01-Diff,02Year01-%Diff,02Year02-Attr,02Year02-Diff,02Year02-%Diff,02Year05-Attr,02Year05-Diff,02Year05-%Diff,00PR01-Attr,00PR01-Diff,00PR01-%Diff,00PR02-Attr,00PR02-Diff,00PR02-%Diff,00PR03-Attr,00PR03-Diff,00PR03-%Diff,00PR04-Attr,00PR04-Diff,00PR04-%Diff,00PR05-Attr,00PR05-Diff,00PR05-%Diff,02Year10-Attr,02Year10-Diff,02Year10-%Diff
POTR-37,0.70,0.35,-0.35,-50.00,0.21,-0.49,-70.00,0.07,-0.63,-90.00,0.70,0.00,0.00,0.63,-0.07,-10.00,0.63,-0.07,-10.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
POTR-38,1.82,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.98,-0.84,-46.16,0.91,-0.91,-50.02,0.35,-1.47,-80.76,0.28,-1.54,-84.62,1.05,-0.77,-42.33,***,***,***
POTR-39,0.28,0.35,0.07,25.18,0.07,-0.21,-75.00,0.21,-0.07,-24.82,0.21,-0.07,-24.65,0.56,0.28,100.02,0.77,0.49,175.18,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
POTR-40,0.84,0.84,0.00,0.00,1.26,0.42,50.01,0.42,-0.42,-50.00,0.63,-0.21,-24.99,0.70,-0.14,-16.66,0.98,0.14,16.68,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
POTR-41,0.56,0.70,0.14,25.02,0.35,-0.21,-37.51,0.07,-0.49,-87.50,0.35,-0.21,-37.52,0.56,0.00,-0.02,0.84,0.28,49.98,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
POTR-42,1.12,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.47,0.35,31.25,2.24,1.12,99.96,1.19,0.07,6.28,***,***,***,***,***,***,***,***,***
POTR-43,0.91,0.42,-0.49,-53.85,0.42,-0.49,-53.85,0.07,-0.84,-92.31,0.63,-0.28,-30.77,0.70,-0.21,-23.07,0.28,-0.63,-69.23,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
POTR-44,0.70,0.28,-0.42,-60.00,0.42,-0.28,-40.00,0.14,-0.56,-80.00,0.84,0.14,19.98,0.63,-0.07,-10.01,0.70,0.00,-0.01,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
POTR-46,0.42,0.98,0.56,133.23,0.49,0.07,16.29,0.28,-0.14,-33.29,0.35,-0.07,-16.54,***,***,***,***,***,***,0.42,0.00,0.01,1.41,0.99,234.27,1.26,0.84,199.22,0.77,0.35,83.39,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.56,0.14,32.91
Mean,0.82,0.56,0.26,31.37,0.46,0.36,43.69,0.18,0.64,77.93,0.53,0.29,35.09,0.63,0.19,22.92,0.70,0.12,14.35,0.42,0.39,48.29,1.41,-0.59,-72.86,1.26,-0.45,-54.73,0.77,0.04,5.17,1.22,-0.41,-50.05,1.57,-0.76,-92.87,0.77,0.05,5.66,0.28,0.54,65.72,1.05,-0.23,-28.57,0.56,0.26,31.27
