ProjectUnit = WILDCAT
Summary Report = Surface Fuels
Report Attribute = 100-hr
Units = Tons per Acre

Macroplot,PRE-Attr
WILD_01,0.00
WILD_02,6.37
WILD_03,1.25
WILD_04,4.88
WILD_05,2.44
WILD_06,1.22
WILD_07,3.73
WILD_08,0.00
WILD_09,8.61
WILD_10,1.22
Mean,2.97
