ProjectUnit = WILDCAT
Summary Report = Surface Fuels
Report Attribute = Litter
Units = Tons per Acre

Macroplot,PRE-Attr
WILD_01,10.08
WILD_02,3.84
WILD_03,7.34
WILD_04,2.25
WILD_05,3.99
WILD_06,4.94
WILD_07,1.85
WILD_08,6.29
WILD_09,4.69
WILD_10,3.29
Mean,4.86
