ProjectUnit = WILDCAT
Summary Report = Surface Fuels
Report Attribute = 1-hr
Units = Tons per Acre

Macroplot,PRE-Attr
WILD_01,0.01
WILD_02,0.25
WILD_03,0.61
WILD_04,2.34
WILD_05,0.37
WILD_06,0.40
WILD_07,0.68
WILD_08,0.13
WILD_09,0.60
WILD_10,0.39
Mean,0.58
