ProjectUnit = WILDCAT
Summary Report = Surface Fuels
Report Attribute = Litter depth
Units = Inches

Macroplot,PRE-Attr
WILD_01,2.02
WILD_02,0.77
WILD_03,1.47
WILD_04,0.45
WILD_05,0.80
WILD_06,0.99
WILD_07,0.37
WILD_08,1.26
WILD_09,0.94
WILD_10,0.66
Mean,0.97
