ProjectUnit = WILDCAT
Summary Report = Surface Fuels
Report Attribute = 1000-hr Rotten
Units = Tons per Acre

Macroplot,PRE-Attr
WILD_01,56.44
WILD_02,132.84
WILD_03,0.00
WILD_04,0.00
WILD_05,1.98
WILD_06,7.84
WILD_07,0.00
WILD_08,0.00
WILD_09,51.75
WILD_10,0.00
Mean,25.09
