ProjectUnit = Daves Hollow
Summary Report = Surface Fuels
Report Attribute = 100-hr
Units = Tons per Acre

Macroplot,00Pre-Attr,01Post-Attr,01Post-Diff,01Post-%Diff,01Year01-Attr,01Year01-Diff,01Year01-%Diff,01Year05-Attr,01Year05-Diff,01Year05-%Diff
Circle001,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***
Circle002,0.62,0.62,0.00,0.00,1.86,1.25,201.34,0.00,-0.62,-100.00
Circle003,0.62,0.00,-0.62,-100.00,0.00,-0.62,-100.00,0.00,-0.62,-100.00
Circle004,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Circle005,0.00,0.00,0.00,0.00,0.62,0.62,***,0.62,0.62,***
Circle006,0.62,0.00,-0.62,-100.00,0.00,-0.62,-100.00,0.00,-0.62,-100.00
Circle007,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Circle008,1.24,1.24,0.00,0.00,1.85,0.62,50.00,0.00,-1.24,-100.00
Circle009,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Circle010,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Circle011,1.24,2.48,1.24,99.93,1.86,0.62,49.93,0.62,-0.62,-50.00
Circle012,3.71,2.47,-1.24,-33.33,3.71,0.00,0.00,1.24,-2.47,-66.67
Circle013,0.00,0.00,0.00,0.00,0.62,0.62,***,0.62,0.62,***
Circle014,4.33,3.09,-1.24,-28.58,2.47,-1.86,-42.86,1.86,-2.47,-57.14
Circle015,1.86,1.24,-0.62,-33.33,1.24,-0.62,-33.33,0.00,-1.86,-100.00
Mean,0.95,0.74,0.21,21.73,0.95,0.00,-0.06,0.35,0.60,62.75
