ProjectUnit = Daves Hollow
Summary Report = Surface Fuels
Report Attribute = 10-hr
Units = Tons per Acre

Macroplot,00Pre-Attr,01Post-Attr,01Post-Diff,01Post-%Diff,01Year01-Attr,01Year01-Diff,01Year01-%Diff,01Year05-Attr,01Year05-Diff,01Year05-%Diff
Circle001,0.00,0.00,0.00,0.00,0.62,0.62,***,***,***,***
Circle002,0.25,0.00,-0.25,-100.00,0.12,-0.12,-49.66,0.62,0.37,150.34
Circle003,0.12,0.25,0.12,99.53,0.62,0.50,400.00,0.25,0.12,99.06
Circle004,0.00,0.50,0.50,***,0.50,0.50,***,0.25,0.25,***
Circle005,0.62,0.25,-0.37,-59.97,0.50,-0.12,-20.01,0.50,-0.12,-19.95
Circle006,0.25,0.25,0.00,-0.01,0.12,-0.12,-50.01,0.00,-0.25,-100.00
Circle007,0.25,0.37,0.12,49.63,0.50,0.25,99.51,0.62,0.37,149.39
Circle008,0.87,0.12,-0.74,-85.71,0.25,-0.62,-71.43,0.00,-0.87,-100.00
Circle009,0.62,0.12,-0.50,-80.00,0.87,0.25,40.38,0.62,0.00,0.10
Circle010,0.12,0.00,-0.12,-100.00,0.00,-0.12,-100.00,0.12,0.00,0.00
Circle011,1.62,1.12,-0.50,-30.78,1.49,-0.12,-7.71,0.62,-1.00,-61.54
Circle012,1.86,1.36,-0.50,-26.67,0.37,-1.49,-80.00,0.12,-1.74,-93.33
Circle013,0.12,0.50,0.37,300.82,0.37,0.25,200.00,1.62,1.49,1201.10
Circle014,0.37,0.74,0.37,100.01,0.50,0.12,33.34,0.74,0.37,100.01
Circle015,0.50,0.25,-0.25,-50.00,0.37,-0.12,-24.77,0.25,-0.25,-49.89
Mean,0.51,0.39,0.12,22.94,0.48,0.02,4.83,0.45,0.05,10.40
