ProjectUnit = PIPO3T02
Summary Report = Surface Fuels
Report Attribute = 10-hr
Units = Tons per Acre

Macroplot,01PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,01YEAR1-Attr,01YEAR1-Diff,01YEAR1-%Diff,01YEAR2-Attr,01YEAR2-Diff,01YEAR2-%Diff,01YEAR5-Attr,01YEAR5-Diff,01YEAR5-%Diff,01YEAR10-Attr,01YEAR10-Diff,01YEAR10-%Diff,02PRE-Attr,02PRE-Diff,02PRE-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YEAR1-Attr,02YEAR1-Diff,02YEAR1-%Diff,02YEAR4-Attr,02YEAR4-Diff,02YEAR4-%Diff,02YEAR5-Attr,02YEAR5-Diff,02YEAR5-%Diff
B_FPIPO3T02_01,0.61,0.15,-0.46,-74.98,0.15,-0.46,-75.00,0.38,-0.23,-37.49,0.23,-0.38,-62.51,0.00,-0.61,-100.00,***,***,***,0.15,-0.46,-75.00,0.08,-0.53,-87.50,0.00,-0.61,-100.00,0.00,-0.61,-100.00
B_FPIPO3T02_02,0.08,0.30,0.23,299.84,0.23,0.15,199.88,0.08,0.00,0.07,0.23,0.15,199.64,0.00,-0.08,-100.00,***,***,***,0.00,-0.08,-100.00,0.15,0.08,100.15,0.15,0.08,100.94,0.08,0.00,0.47
B_FPIPO3T02_03,0.15,0.08,-0.08,-49.97,0.08,-0.08,-49.97,0.31,0.15,100.53,0.31,0.15,100.51,0.53,0.38,250.27,***,***,***,0.00,-0.15,-100.00,0.08,-0.08,-49.76,0.31,0.15,100.53,0.31,0.15,100.96
B_FPIPO3T02_04,0.61,0.53,-0.08,-12.50,0.23,-0.38,-62.47,0.30,-0.30,-49.98,0.08,-0.53,-87.48,0.31,-0.30,-49.95,***,***,***,0.30,-0.30,-49.99,0.00,-0.61,-100.00,0.00,-0.61,-100.00,0.00,-0.61,-100.00
B_FPIPO3T02_05,0.61,0.00,-0.61,-100.00,0.15,-0.46,-75.01,0.23,-0.38,-62.53,0.15,-0.46,-75.00,2.37,1.76,288.41,***,***,***,0.46,-0.15,-24.82,0.31,-0.30,-49.88,0.31,-0.30,-49.88,0.23,-0.38,-62.41
B_FPIPO3T02_06,0.08,0.00,-0.08,-100.00,0.00,-0.08,-100.00,0.00,-0.08,-100.00,0.00,-0.08,-100.00,0.00,-0.08,-100.00,***,***,***,0.08,0.00,0.00,1.38,1.30,1693.20,0.46,0.38,497.11,1.61,1.53,1991.50
B_FPIPO3T02_07,1.22,0.84,-0.38,-31.27,0.30,-0.92,-75.05,0.23,-0.99,-81.28,0.08,-1.14,-93.74,0.15,-1.07,-87.53,***,***,***,0.08,-1.14,-93.74,0.15,-1.07,-87.45,0.08,-1.14,-93.74,0.08,-1.14,-93.74
B_FPIPO3T02_08,1.22,0.91,-0.30,-24.99,0.38,-0.84,-68.74,0.46,-0.76,-62.54,0.38,-0.84,-68.75,0.30,-0.91,-75.00,***,***,***,0.15,-1.07,-87.50,0.23,-0.99,-81.25,0.08,-1.14,-93.75,0.00,-1.22,-100.00
B_FPIPO3T02_09,0.61,***,***,***,0.30,-0.30,-50.00,0.08,-0.53,-87.50,0.23,-0.38,-62.50,0.08,-0.53,-87.50,***,***,***,0.08,-0.53,-87.50,0.15,-0.46,-75.01,0.15,-0.46,-75.01,0.15,-0.46,-75.01
B_FPIPO3T02_10,0.38,0.00,-0.38,-100.00,0.46,0.07,19.36,0.38,0.00,0.12,0.38,0.00,0.02,0.23,-0.15,-39.76,***,***,***,0.15,-0.23,-59.95,0.31,-0.08,-19.87,0.00,-0.38,-100.00,0.08,-0.31,-80.15
B_FPIPO3T02_11,0.70,0.23,-0.47,-66.86,0.38,-0.31,-44.73,0.15,-0.54,-78.13,0.00,-0.70,-100.00,0.23,-0.47,-67.19,***,***,***,0.23,-0.47,-67.19,0.00,-0.70,-100.00,0.08,-0.62,-89.06,0.08,-0.62,-89.06
B_FPIPO3T02_12,0.91,0.69,-0.23,-24.97,0.46,-0.46,-49.92,0.53,-0.38,-41.62,0.15,-0.76,-83.35,0.23,-0.69,-75.02,***,***,***,0.08,-0.84,-91.68,0.08,-0.84,-91.68,0.08,-0.84,-91.68,0.00,-0.91,-100.00
B_FPIPO3T02_13,0.15,0.62,0.46,301.43,0.15,0.00,-0.07,0.00,-0.15,-100.00,0.15,0.00,-0.07,0.00,-0.15,-100.00,***,***,***,0.08,-0.08,-50.28,0.15,0.00,-0.55,0.00,-0.15,-100.00,0.08,-0.08,-50.35
B_FPIPO3T02_14,0.08,0.23,0.15,199.69,0.23,0.15,199.69,0.15,0.08,99.79,0.31,0.23,299.58,0.61,0.54,699.69,***,***,***,0.31,0.23,300.00,0.08,0.00,-0.10,0.00,-0.08,-100.00,0.00,-0.08,-100.00
B_FPIPO3T02_15,0.46,0.08,-0.38,-83.34,0.00,-0.46,-100.00,0.08,-0.38,-83.34,0.00,-0.46,-100.00,0.08,-0.38,-83.34,0.38,-0.08,-17.18,0.00,-0.46,-100.00,0.00,-0.46,-100.00,0.15,-0.31,-66.68,0.15,-0.31,-66.68
B_FPIPO3T02_16,0.68,0.00,-0.68,-100.00,0.00,-0.68,-100.00,0.08,-0.61,-88.86,0.00,-0.68,-100.00,0.23,-0.46,-66.57,0.08,-0.61,-88.89,0.00,-0.68,-100.00,0.00,-0.68,-100.00,0.08,-0.61,-88.89,0.00,-0.68,-100.00
B_FPIPO3T02_17,0.84,0.00,-0.84,-100.00,0.00,-0.84,-100.00,0.08,-0.76,-90.93,0.00,-0.84,-100.00,0.08,-0.76,-90.86,0.15,-0.69,-81.84,0.00,-0.84,-100.00,0.08,-0.76,-90.92,0.00,-0.84,-100.00,0.00,-0.84,-100.00
B_FPIPO3T02_18,0.92,0.31,-0.61,-66.65,0.38,-0.54,-58.30,0.30,-0.61,-66.77,0.46,-0.46,-49.90,0.23,-0.69,-74.94,0.00,-0.92,-100.00,0.46,-0.46,-50.06,0.00,-0.92,-100.00,0.00,-0.92,-100.00,0.53,-0.38,-41.71
B_FPIPO3T02_19,0.46,0.15,-0.31,-66.57,0.46,0.00,0.00,1.23,0.77,167.16,0.76,0.31,66.76,0.15,-0.31,-66.62,0.38,-0.07,-16.33,0.46,0.00,0.09,0.31,-0.15,-33.14,0.31,-0.15,-33.14,0.31,-0.15,-33.39
Mean,0.57,0.28,0.28,49.83,0.23,0.34,59.58,0.27,0.30,53.20,0.21,0.36,63.81,0.31,0.26,46.04,0.20,0.37,64.95,0.16,0.41,71.62,0.19,0.38,67.29,0.12,0.45,79.40,0.19,0.37,65.88
