ProjectUnit = PIPO3T02
Summary Report = Surface Fuels
Report Attribute = 100-hr
Units = Tons per Acre

Macroplot,01PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,01YEAR1-Attr,01YEAR1-Diff,01YEAR1-%Diff,01YEAR2-Attr,01YEAR2-Diff,01YEAR2-%Diff,01YEAR5-Attr,01YEAR5-Diff,01YEAR5-%Diff,01YEAR10-Attr,01YEAR10-Diff,01YEAR10-%Diff,02PRE-Attr,02PRE-Diff,02PRE-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YEAR1-Attr,02YEAR1-Diff,02YEAR1-%Diff,02YEAR4-Attr,02YEAR4-Diff,02YEAR4-%Diff,02YEAR5-Attr,02YEAR5-Diff,02YEAR5-%Diff
B_FPIPO3T02_01,1.21,0.30,-0.91,-75.04,0.30,-0.91,-75.04,0.61,-0.61,-50.06,0.00,-1.21,-100.00,0.00,-1.21,-100.00,***,***,***,0.00,-1.21,-100.00,0.00,-1.21,-100.00,0.30,-0.91,-75.01,0.30,-0.91,-75.01
B_FPIPO3T02_02,0.61,0.91,0.30,49.90,0.61,0.00,-0.10,0.61,0.00,-0.10,0.30,-0.30,-50.00,0.30,-0.30,-50.00,***,***,***,0.61,0.00,-0.10,0.00,-0.61,-100.00,0.61,0.00,0.00,0.30,-0.30,-50.00
B_FPIPO3T02_03,0.91,0.91,0.00,0.00,0.00,-0.91,-100.00,1.52,0.61,66.69,1.21,0.30,33.41,1.52,0.61,66.69,***,***,***,0.30,-0.61,-66.73,0.30,-0.61,-66.73,0.00,-0.91,-100.00,0.91,0.00,0.14
B_FPIPO3T02_04,0.00,0.30,0.30,***,0.30,0.30,***,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,0.30,0.30,***,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B_FPIPO3T02_05,1.22,0.00,-1.22,-100.00,0.61,-0.61,-50.06,0.00,-1.22,-100.00,0.00,-1.22,-100.00,1.22,0.00,0.12,***,***,***,0.30,-0.91,-74.97,0.61,-0.61,-49.94,0.00,-1.22,-100.00,0.00,-1.22,-100.00
B_FPIPO3T02_06,0.00,0.61,0.61,***,0.61,0.61,***,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.30,***,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,0.61,0.61,***,1.53,1.53,***
B_FPIPO3T02_07,1.52,1.21,-0.30,-20.07,0.61,-0.91,-60.00,0.61,-0.91,-60.00,2.13,0.61,40.20,1.21,-0.30,-19.89,***,***,***,0.91,-0.61,-40.11,0.91,-0.61,-40.11,0.31,-1.21,-79.85,0.91,-0.61,-40.11
B_FPIPO3T02_08,3.03,0.61,-2.43,-80.01,0.61,-2.43,-80.01,0.00,-3.03,-100.00,1.21,-1.82,-60.00,0.61,-2.43,-80.01,***,***,***,0.30,-2.73,-90.01,0.30,-2.73,-90.01,0.30,-2.73,-90.01,0.00,-3.03,-100.00
B_FPIPO3T02_09,0.91,***,***,***,0.61,-0.30,-33.33,0.00,-0.91,-100.00,0.00,-0.91,-100.00,0.00,-0.91,-100.00,***,***,***,0.00,-0.91,-100.00,0.30,-0.61,-66.67,0.61,-0.30,-33.35,0.00,-0.91,-100.00
B_FPIPO3T02_10,1.82,1.22,-0.61,-33.21,1.22,-0.61,-33.21,0.91,-0.91,-50.12,0.30,-1.52,-83.36,0.30,-1.52,-83.40,***,***,***,0.31,-1.52,-83.12,0.00,-1.82,-100.00,0.00,-1.82,-100.00,0.00,-1.82,-100.00
