ProjectUnit = FPIPO1D09
Summary Report = Surface Fuels
Report Attribute = 10-hr
Units = Tons per Acre

Macroplot,00Pro1-Attr,00Pre-Attr,00Pre-Diff,00Pre-%Diff,00Yr15-Attr,00Yr15-Diff,00Yr15-%Diff,00Yr18-Attr,00Yr18-Diff,00Yr18-%Diff,01Post-Attr,01Post-Diff,01Post-%Diff,01Yr01-Attr,01Yr01-Diff,01Yr01-%Diff,01Yr02-Attr,01Yr02-Diff,01Yr02-%Diff,01Yr03-Attr,01Yr03-Diff,01Yr03-%Diff,01Yr05-Attr,01Yr05-Diff,01Yr05-%Diff,01Yr08-Attr,01Yr08-Diff,01Yr08-%Diff,01Yr09-Attr,01Yr09-Diff,01Yr09-%Diff,01Yr14-Attr,01Yr14-Diff,01Yr14-%Diff,01Yr15-Attr,01Yr15-Diff,01Yr15-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Yr01-Attr,02Yr01-Diff,02Yr01-%Diff,02Yr02-Attr,02Yr02-Diff,02Yr02-%Diff,02Yr05-Attr,02Yr05-Diff,02Yr05-%Diff,02Yr06-Attr,02Yr06-Diff,02Yr06-%Diff,02Yr14-Attr,02Yr14-Diff,02Yr14-%Diff,03Post-Attr,03Post-Diff,03Post-%Diff,03Yr01-Attr,03Yr01-Diff,03Yr01-%Diff,03Yr05-Attr,03Yr05-Diff,03Yr05-%Diff,04Yr05-Attr,04Yr05-Diff,04Yr05-%Diff
B:FPIPO1D09:09,1.45,0.53,-0.92,-63.19,***,***,***,***,***,***,***,***,***,1.07,-0.38,-26.13,0.46,-0.99,-68.27,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1D09:10,0.38,1.75,1.37,359.53,***,***,***,***,***,***,2.21,1.83,479.65,0.91,0.53,139.77,***,***,***,***,***,***,***,***,***,***,***,***,0.84,0.46,119.71,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1D09:55,0.69,0.84,0.15,22.28,***,***,***,***,***,***,0.08,-0.61,-88.78,0.53,-0.15,-22.16,***,***,***,***,***,***,***,***,***,***,***,***,1.29,0.61,88.62,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1D09:56,0.38,0.76,0.38,100.00,***,***,***,***,***,***,0.76,0.38,100.00,0.76,0.38,100.00,0.99,0.61,159.99,***,***,***,0.46,0.08,20.00,***,***,***,***,***,***,0.30,-0.08,-20.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1D09:01,***,0.08,***,***,***,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1D09:02,***,0.53,***,***,***,***,***,***,***,***,0.23,***,***,0.38,***,***,0.30,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.84,***,***,0.76,***,***,0.53,***,***,1.14,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.68,***,***,***,***,***
B:FPIPO1D09:03,***,0.85,***,***,***,***,***,***,***,***,0.31,***,***,0.31,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.46,***,***,0.38,***,***,0.69,***,***,***,***,***,***,***,***,***,***,***,0.77,***,***,0.62,***,***,***,***,***,1.53,***,***
B:FPIPO1D09:04,***,0.92,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1D09:05,***,0.76,***,***,***,***,***,***,***,***,0.68,***,***,0.53,***,***,0.23,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.84,***,***,0.68,***,***,***,***,***,***,***,***,1.06,***,***,***,***,***,***,***,***,***,***,***,0.84,***,***,***,***,***
B:FPIPO1D09:06,***,0.91,***,***,***,***,***,***,***,***,0.68,***,***,0.30,***,***,1.14,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.46,***,***,***,***,***,***,***,***,1.37,***,***,1.98,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1D09:07,***,0.15,***,***,***,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
