ProjectUnit = FPIPO1D09
Summary Report = Surface Fuels
Report Attribute = 100-hr
Units = Tons per Acre

Macroplot,00Pro1-Attr,00Pre-Attr,00Pre-Diff,00Pre-%Diff,00Yr15-Attr,00Yr15-Diff,00Yr15-%Diff,00Yr18-Attr,00Yr18-Diff,00Yr18-%Diff,01Post-Attr,01Post-Diff,01Post-%Diff,01Yr01-Attr,01Yr01-Diff,01Yr01-%Diff,01Yr02-Attr,01Yr02-Diff,01Yr02-%Diff,01Yr03-Attr,01Yr03-Diff,01Yr03-%Diff,01Yr05-Attr,01Yr05-Diff,01Yr05-%Diff,01Yr08-Attr,01Yr08-Diff,01Yr08-%Diff,01Yr09-Attr,01Yr09-Diff,01Yr09-%Diff,01Yr14-Attr,01Yr14-Diff,01Yr14-%Diff,01Yr15-Attr,01Yr15-Diff,01Yr15-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Yr01-Attr,02Yr01-Diff,02Yr01-%Diff,02Yr02-Attr,02Yr02-Diff,02Yr02-%Diff,02Yr05-Attr,02Yr05-Diff,02Yr05-%Diff,02Yr06-Attr,02Yr06-Diff,02Yr06-%Diff,02Yr14-Attr,02Yr14-Diff,02Yr14-%Diff,03Post-Attr,03Post-Diff,03Post-%Diff,03Yr01-Attr,03Yr01-Diff,03Yr01-%Diff,03Yr05-Attr,03Yr05-Diff,03Yr05-%Diff,04Yr05-Attr,04Yr05-Diff,04Yr05-%Diff
B:FPIPO1D09:09,0.61,0.00,-0.61,-100.00,***,***,***,***,***,***,***,***,***,0.61,0.00,0.06,0.00,-0.61,-100.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1D09:10,2.43,1.21,-1.21,-50.08,***,***,***,***,***,***,2.72,0.30,12.34,1.82,-0.61,-25.05,***,***,***,***,***,***,***,***,***,***,***,***,1.82,-0.61,-25.05,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1D09:55,0.30,1.22,0.92,303.57,***,***,***,***,***,***,1.52,1.22,403.54,0.61,0.31,102.38,***,***,***,***,***,***,***,***,***,***,***,***,7.58,7.28,2403.89,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1D09:56,0.00,0.00,0.00,0.00,***,***,***,***,***,***,0.61,0.61,***,0.61,0.61,***,0.00,0.00,0.00,***,***,***,0.00,0.00,0.00,***,***,***,***,***,***,0.30,0.30,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1D09:01,***,0.91,***,***,***,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1D09:02,***,1.51,***,***,***,***,***,***,***,***,0.30,***,***,0.30,***,***,0.91,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,0.61,***,***,0.30,***,***,1.51,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.91,***,***,***,***,***
B:FPIPO1D09:03,***,1.53,***,***,***,***,***,***,***,***,0.31,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.31,***,***,0.00,***,***,0.31,***,***,***,***,***,***,***,***,***,***,***,0.92,***,***,0.61,***,***,***,***,***,2.75,***,***
B:FPIPO1D09:04,***,1.22,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1D09:05,***,1.21,***,***,***,***,***,***,***,***,0.91,***,***,0.00,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.61,***,***,0.00,***,***,***,***,***,***,***,***,1.51,***,***,***,***,***,***,***,***,***,***,***,0.91,***,***,***,***,***
B:FPIPO1D09:06,***,0.30,***,***,***,***,***,***,***,***,1.82,***,***,0.00,***,***,0.30,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.30,***,***,***,***,***,***,***,***,0.61,***,***,3.93,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1D09:07,***,1.21,***,***,***,***,***,***,***,***,0.91,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1D09:08,***,0.00,***,***,***,***,***,***,***,***,0.31,***,***,0.92,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.31,***,***,0.61,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,0.31,***,***,0.00,***,***,0.31,***,***,0.91,***,***
B:FPIPO1D09:11,***,6.08,***,***,***,***,***,***,***,***,1.22,***,***,1.53,***,***,1.52,***,***,2.44,***,***,***,***,***,3.04,***,***,***,***,***,***,***,***,3.95,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1D09:12,***,2.42,***,***,0.30,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
