ProjectUnit = FPICO1D08
Summary Report = Surface Fuels
Report Attribute = Duff depth
Units = Inches

Macroplot,00Pre-Attr,01Post-Attr,01Post-Diff,01Post-%Diff,01Yr01-Attr,01Yr01-Diff,01Yr01-%Diff,01Yr02-Attr,01Yr02-Diff,01Yr02-%Diff,01Yr05-Attr,01Yr05-Diff,01Yr05-%Diff,01Yr10-Attr,01Yr10-Diff,01Yr10-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Yr01-Attr,02Yr01-Diff,02Yr01-%Diff,02Yr02-Attr,02Yr02-Diff,02Yr02-%Diff
B:FPICO1D08:01,1.81,0.53,-1.29,-71.03,0.53,-1.29,-71.03,0.24,-1.58,-87.03,0.20,-1.62,-89.24,0.70,-1.11,-61.24,0.04,-1.78,-97.93,0.01,-1.81,-99.59,0.02,-1.80,-99.03
B:FPICO1D08:02,2.11,1.26,-0.85,-40.45,1.26,-0.85,-40.45,0.60,-1.51,-71.65,0.24,-1.87,-88.61,0.81,-1.30,-61.68,0.08,-2.03,-96.09,0.04,-2.07,-98.10,0.09,-2.02,-95.61
B:FPICO1D08:03,0.58,0.94,0.37,63.48,0.94,0.37,63.48,0.66,0.08,14.35,0.25,-0.33,-57.39,0.56,-0.01,-2.61,0.08,-0.50,-86.96,0.04,-0.54,-93.04,0.10,-0.48,-83.48
Mean,1.50,0.91,0.59,39.49,0.91,0.59,39.49,0.50,1.00,66.85,0.23,1.27,84.87,0.69,0.81,53.95,0.07,1.43,95.66,0.03,1.47,98.05,0.07,1.43,95.44
