ProjectUnit = FPICO1D08
Summary Report = Surface Fuels
Report Attribute = 1000-hr Sound
Units = Tons per Acre

Macroplot,00Pre-Attr,01Post-Attr,01Post-Diff,01Post-%Diff,01Yr01-Attr,01Yr01-Diff,01Yr01-%Diff,01Yr02-Attr,01Yr02-Diff,01Yr02-%Diff,01Yr05-Attr,01Yr05-Diff,01Yr05-%Diff,01Yr10-Attr,01Yr10-Diff,01Yr10-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Yr01-Attr,02Yr01-Diff,02Yr01-%Diff,02Yr02-Attr,02Yr02-Diff,02Yr02-%Diff
B:FPICO1D08:01,31.85,10.19,-21.65,-67.99,10.19,-21.65,-67.99,11.14,-20.70,-65.01,15.49,-16.36,-51.36,11.57,-20.28,-63.67,4.26,-27.59,-86.62,5.20,-26.64,-83.66,5.92,-25.93,-81.42
B:FPICO1D08:02,4.67,3.51,-1.16,-24.87,3.51,-1.16,-24.87,11.47,6.79,145.38,6.34,1.67,35.72,25.27,20.60,440.69,7.19,2.52,53.88,7.76,3.08,65.94,8.20,3.53,75.44
B:FPICO1D08:03,0.00,0.30,0.30,***,0.30,0.30,***,0.24,0.24,***,0.46,0.46,***,0.22,0.22,***,11.41,11.41,***,21.13,21.13,***,22.09,22.09,***
Mean,12.17,4.67,7.50,61.64,4.67,7.50,61.64,7.62,4.56,37.43,7.43,4.74,38.95,12.35,-0.18,-1.49,7.62,4.55,37.39,11.36,0.81,6.65,12.07,0.11,0.87
