ProjectUnit = FPICO1D08
Summary Report = Surface Fuels
Report Attribute = Duff
Units = Tons per Acre

Macroplot,00Pre-Attr,01Post-Attr,01Post-Diff,01Post-%Diff,01Yr01-Attr,01Yr01-Diff,01Yr01-%Diff,01Yr02-Attr,01Yr02-Diff,01Yr02-%Diff,01Yr05-Attr,01Yr05-Diff,01Yr05-%Diff,01Yr10-Attr,01Yr10-Diff,01Yr10-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Yr01-Attr,02Yr01-Diff,02Yr01-%Diff,02Yr02-Attr,02Yr02-Diff,02Yr02-%Diff
B:FPICO1D08:01,18.09,5.24,-12.85,-71.03,5.24,-12.85,-71.03,2.35,-15.75,-87.03,1.95,-16.15,-89.24,7.01,-11.08,-61.24,0.37,-17.72,-97.93,0.07,-18.02,-99.59,0.17,-17.92,-99.03
B:FPICO1D08:02,21.04,12.53,-8.51,-40.45,12.53,-8.51,-40.45,5.96,-15.07,-71.65,2.40,-18.64,-88.61,8.06,-12.98,-61.68,0.82,-20.21,-96.09,0.40,-20.64,-98.10,0.92,-20.11,-95.61
B:FPICO1D08:03,5.74,9.38,3.64,63.48,9.38,3.64,63.48,6.56,0.82,14.35,2.45,-3.29,-57.39,5.59,-0.15,-2.61,0.75,-4.99,-86.96,0.40,-5.34,-93.04,0.95,-4.79,-83.48
Mean,14.96,9.05,5.91,39.49,9.05,5.91,39.49,4.96,10.00,66.85,2.26,12.69,84.87,6.89,8.07,53.95,0.65,14.31,95.66,0.29,14.67,98.05,0.68,14.27,95.44
