ProjectUnit = FPICO1D08
Summary Report = Surface Fuels
Report Attribute = 100-hr
Units = Tons per Acre

Macroplot,00Pre-Attr,01Post-Attr,01Post-Diff,01Post-%Diff,01Yr01-Attr,01Yr01-Diff,01Yr01-%Diff,01Yr02-Attr,01Yr02-Diff,01Yr02-%Diff,01Yr05-Attr,01Yr05-Diff,01Yr05-%Diff,01Yr10-Attr,01Yr10-Diff,01Yr10-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Yr01-Attr,02Yr01-Diff,02Yr01-%Diff,02Yr02-Attr,02Yr02-Diff,02Yr02-%Diff
B:FPICO1D08:01,2.72,1.82,-0.91,-33.34,1.82,-0.91,-33.34,0.91,-1.82,-66.67,1.51,-1.21,-44.45,2.42,-0.30,-11.11,0.61,-2.12,-77.78,0.00,-2.72,-100.00,1.21,-1.51,-55.56
B:FPICO1D08:02,3.93,2.12,-1.82,-46.15,2.12,-1.82,-46.15,1.82,-2.12,-53.85,2.12,-1.82,-46.15,2.42,-1.51,-38.46,0.30,-3.63,-92.30,0.00,-3.93,-100.00,0.00,-3.93,-100.00
B:FPICO1D08:03,0.61,0.91,0.30,50.00,0.91,0.30,50.00,0.91,0.30,50.00,0.61,0.00,0.00,0.91,0.30,50.00,2.12,1.51,250.01,2.42,1.82,300.02,4.84,4.24,700.03
Mean,2.42,1.61,0.81,33.34,1.61,0.81,33.34,1.21,1.21,50.00,1.41,1.01,41.67,1.92,0.50,20.84,1.01,1.41,58.34,0.81,1.61,66.67,2.02,0.40,16.69
