ProjectUnit = FPICO1D08
Summary Report = Surface Fuels
Report Attribute = 10-hr
Units = Tons per Acre

Macroplot,00Pre-Attr,01Post-Attr,01Post-Diff,01Post-%Diff,01Yr01-Attr,01Yr01-Diff,01Yr01-%Diff,01Yr02-Attr,01Yr02-Diff,01Yr02-%Diff,01Yr05-Attr,01Yr05-Diff,01Yr05-%Diff,01Yr10-Attr,01Yr10-Diff,01Yr10-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Yr01-Attr,02Yr01-Diff,02Yr01-%Diff,02Yr02-Attr,02Yr02-Diff,02Yr02-%Diff
B:FPICO1D08:01,0.91,1.75,0.84,91.67,1.75,0.84,91.67,1.22,0.30,33.33,0.99,0.08,8.34,1.06,0.15,16.67,0.38,-0.53,-58.33,0.91,0.00,0.01,0.46,-0.46,-50.00
B:FPICO1D08:02,1.67,1.83,0.15,9.10,1.83,0.15,9.10,1.29,-0.38,-22.73,0.23,-1.45,-86.36,0.99,-0.68,-40.91,0.08,-1.60,-95.46,0.08,-1.60,-95.45,0.00,-1.67,-100.00
B:FPICO1D08:03,1.29,0.53,-0.76,-58.82,0.53,-0.76,-58.82,1.37,0.08,5.88,0.61,-0.68,-52.94,0.30,-0.99,-76.47,0.91,-0.38,-29.41,1.44,0.15,11.77,1.44,0.15,11.77
Mean,1.29,1.37,-0.08,-5.89,1.37,-0.08,-5.89,1.29,0.00,0.00,0.61,0.68,52.95,0.79,0.51,39.22,0.46,0.84,64.71,0.81,0.48,37.26,0.63,0.66,50.99
