ProjectUnit = FPICO1D08
Summary Report = Surface Fuels
Report Attribute = Litter depth
Units = Inches

Macroplot,00Pre-Attr,01Post-Attr,01Post-Diff,01Post-%Diff,01Yr01-Attr,01Yr01-Diff,01Yr01-%Diff,01Yr02-Attr,01Yr02-Diff,01Yr02-%Diff,01Yr05-Attr,01Yr05-Diff,01Yr05-%Diff,01Yr10-Attr,01Yr10-Diff,01Yr10-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Yr01-Attr,02Yr01-Diff,02Yr01-%Diff,02Yr02-Attr,02Yr02-Diff,02Yr02-%Diff
B:FPICO1D08:01,1.10,0.36,-0.74,-67.58,0.36,-0.74,-67.58,0.74,-0.36,-32.88,0.73,-0.37,-33.79,0.96,-0.14,-12.56,0.00,-1.10,-100.00,0.05,-1.05,-95.43,0.05,-1.05,-95.43
B:FPICO1D08:02,0.96,0.34,-0.62,-64.84,0.34,-0.62,-64.84,0.99,0.03,3.39,0.95,-0.01,-1.04,0.30,-0.66,-68.49,0.02,-0.94,-97.92,0.08,-0.88,-91.41,0.13,-0.83,-86.20
B:FPICO1D08:03,0.72,0.20,-0.52,-72.22,0.20,-0.52,-72.22,0.50,-0.22,-30.90,0.61,-0.12,-15.97,0.14,-0.59,-81.25,0.04,-0.68,-94.79,0.16,-0.57,-78.47,0.17,-0.55,-76.39
Mean,0.93,0.30,0.63,67.84,0.30,0.63,67.84,0.74,0.18,19.82,0.76,0.17,17.84,0.47,0.46,49.73,0.02,0.91,97.93,0.10,0.83,89.64,0.12,0.81,87.30
