ProjectUnit = FPICO1D08
Summary Report = Surface Fuels
Report Attribute = 1000-hr Rotten
Units = Tons per Acre

Macroplot,00Pre-Attr,01Post-Attr,01Post-Diff,01Post-%Diff,01Yr01-Attr,01Yr01-Diff,01Yr01-%Diff,01Yr02-Attr,01Yr02-Diff,01Yr02-%Diff,01Yr05-Attr,01Yr05-Diff,01Yr05-%Diff,01Yr10-Attr,01Yr10-Diff,01Yr10-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Yr01-Attr,02Yr01-Diff,02Yr01-%Diff,02Yr02-Attr,02Yr02-Diff,02Yr02-%Diff
B:FPICO1D08:01,1.75,4.14,2.40,137.20,4.14,2.40,137.20,2.11,0.37,21.02,3.42,1.68,96.03,5.66,3.91,224.05,0.00,-1.75,-100.00,2.11,0.37,21.02,0.00,-1.75,-100.00
B:FPICO1D08:02,22.42,21.84,-0.58,-2.60,21.84,-0.58,-2.60,5.91,-16.51,-73.62,19.38,-3.05,-13.59,6.31,-16.11,-71.87,0.00,-22.42,-100.00,0.00,-22.42,-100.00,0.00,-22.42,-100.00
B:FPICO1D08:03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mean,8.06,8.66,-0.60,-7.50,8.66,-0.60,-7.50,2.68,5.38,66.79,7.60,0.46,5.67,3.99,4.07,50.49,0.00,8.06,100.00,0.70,7.35,91.26,0.00,8.06,100.00
