ProjectUnit = Ackerson
Summary Report = Surface Fuels
Report Attribute = 1-hr
Units = Tons per Acre

Macroplot,Re01Year01-Attr,Re01Year02-Attr,Re01Year02-Diff,Re01Year02-%Diff,Re01Year05-Attr,Re01Year05-Diff,Re01Year05-%Diff,Re01Year10-Attr,Re01Year10-Diff,Re01Year10-%Diff,02YR01-Attr,02YR01-Diff,02YR01-%Diff,Re02Year01-Attr,Re02Year01-Diff,Re02Year01-%Diff
FABCO1T1090,0.00,0.52,0.52,***,***,***,***,0.67,0.67,***,***,***,***,0.00,0.00,***
FABCO1T1091,0.00,0.17,0.17,***,0.02,0.02,***,0.52,0.52,***,0.02,0.02,***,***,***,***
FABMA1T1099,0.00,0.23,0.23,***,0.19,0.19,***,0.28,0.28,***,***,***,***,***,***,***
FPIPO1T1093,0.00,0.07,0.07,***,0.02,0.02,***,0.13,0.13,***,***,***,***,0.00,0.00,***
FPIPO1T1094,***,0.00,***,***,***,***,***,0.86,***,***,***,***,***,0.00,***,***
FPIPO1T1096,0.00,0.02,0.02,***,0.03,0.03,***,0.17,0.17,***,***,***,***,0.00,0.00,0.00
FABCO1T1092,***,0.25,***,***,1.07,***,***,0.67,***,***,***,***,***,0.10,***,***
FABMA1T1097,***,0.27,***,***,0.23,***,***,0.17,***,***,***,***,***,***,***,***
FABMA1T1098,***,0.19,***,***,0.24,***,***,0.20,***,***,***,***,***,***,***,***
FPIPO1T1095,***,0.12,***,***,0.15,***,***,0.17,***,***,***,***,***,0.00,***,***
Mean,0.00,0.19,-0.19,-Infinity,0.24,-0.24,-Infinity,0.39,-0.39,-Infinity,0.02,-0.02,-Infinity,0.02,-0.02,-Infinity
