ProjectUnit = Ackerson
Summary Report = Surface Fuels
Report Attribute = 10-hr
Units = Tons per Acre

Macroplot,Re01Year01-Attr,Re01Year02-Attr,Re01Year02-Diff,Re01Year02-%Diff,Re01Year05-Attr,Re01Year05-Diff,Re01Year05-%Diff,Re01Year10-Attr,Re01Year10-Diff,Re01Year10-%Diff,02YR01-Attr,02YR01-Diff,02YR01-%Diff,Re02Year01-Attr,Re02Year01-Diff,Re02Year01-%Diff
FABCO1T1090,0.00,2.21,2.21,***,***,***,***,4.18,4.18,***,***,***,***,0.00,0.00,0.00
FABCO1T1091,0.00,0.30,0.30,***,0.99,0.99,***,1.90,1.90,***,0.23,0.23,***,***,***,***
FABMA1T1099,0.00,1.45,1.45,***,1.52,1.52,***,1.60,1.60,***,***,***,***,***,***,***
FPIPO1T1093,0.00,0.53,0.53,***,0.46,0.46,***,0.30,0.30,***,***,***,***,0.15,0.15,***
FPIPO1T1094,***,0.23,***,***,***,***,***,2.75,***,***,***,***,***,0.08,***,***
FPIPO1T1096,0.00,0.47,0.47,***,0.32,0.32,***,1.19,1.19,***,***,***,***,0.00,0.00,0.00
FABCO1T1092,***,1.22,***,***,2.06,***,***,6.27,***,***,***,***,***,0.15,***,***
FABMA1T1097,***,0.38,***,***,0.46,***,***,1.67,***,***,***,***,***,***,***,***
FABMA1T1098,***,1.22,***,***,1.90,***,***,0.99,***,***,***,***,***,***,***,***
FPIPO1T1095,***,1.52,***,***,1.67,***,***,2.05,***,***,***,***,***,0.00,***,***
Mean,0.00,0.95,-0.95,-Infinity,1.17,-1.17,-Infinity,2.29,-2.29,-Infinity,0.23,-0.23,-Infinity,0.06,-0.06,-Infinity
